text,positive,negative,assigned,Jakob,Jamie,Darren,Final Decision,Agree w/ Vader,Heather
"It is praiseworthy to consider market incentives in protest movements affecting climate change, discrimination, immigration, and relief for the poor. Why not respect for human life in medical research?",0.54,0.46,Positive,,u,u,u,n/a,
"For one thing, she is visiting vaccination sites to give thanks and encouragement to those working and those getting the vaccine. For another, shes still teaching her classes as a college English professor. Shes involved in efforts to raise funds for animal charities.",1.00,0.00,Positive,,p,p,p,y,
"First one is interesting. The vast majority of college students are &gt;18 YO, so they can consent to the vaccine w/out their FB-addled parents",1.00,0.00,Positive,,p,p,p,y,
"Thank you! You make Imperial College of Med proud. On an another note, perhaps we could encourage the conspiracy theorists, to get the vaccine- yes, the vaccine builds up in the ovaries and makes you develop all these anti-vaxxer follicles and embryos to populate the world!",0.78,0.22,Positive,,p,p,p,y,
"Do you know who requires you to take vaccines? Colleges. If you have taken a college course, you kid, have taken a vaccine. And that means you are nothing more than a sheep (or your parents are). Congratulations.",1.00,0.00,Positive,,u,a,a,n,
"The political/culture wars over vaccination mandates at colleges and univs in 16 GOP states = a disaster this fall as students return, low vax rates, the Delta variant dominant, winter drives people indoors.",0.00,1.00,Negative,,p,u,p,n,
"Im not in favor of policies that mandate people get the vaccine to travel, attend college, etc. Because all of the evidence we have shows the vaccine is effective in protecting against COVID, its variants, et. al. If you choose not to get the vaccine, caveat emptor.",0.58,0.42,Positive,,a,p,a,n,
"Happy to share Rajkot Homeopathic Medical College in association with Technical Events Cell, Parul University, Successfully organized National Level Slogan &amp; Poster Competition : Vaccine the most reliable weapon against Covid-19 #SuccessStory#TEC",0.78,0.22,Positive,,p,p,p,y,
This is not the argument.. Why should college athletes be required to get the vaccine?? It is an NCAA problem and an overall problem in the world.,0.27,0.73,Negative,,a,a,a,y,
Do the words with FDA approval offer added protection from lawsuits when colleges mandate vaccines?,0.66,0.34,Positive,,u,a,u,n/a,
"Basically youre saying in order to become successful and get a college degree, you are going to be forced to take a vaccine even though you dont want it thats discrimination.",0.47,0.53,Negative,,a,a,a,y,
Exclusive: College Athlete Who Recovered From COVID Facing Very Different Future After Second Dose of Pfizer,1.00,0.00,Positive,,u,u,u,n/a,
"Many hospitals still havent made it mandatory for staff to have the vaccine. Its crazy, but if they havent, its hard to see a college sports team going for that level of enforcement. But Im just speculating.",0.34,0.66,Negative,,u,p,p,n,
If you looked at Hearts of Every Young Person after Any Virus Infection = Like Flu you find myocarditis in 50%+ of them and there been....150 Cases of Myocarditis from 25M+ Vaccine Shots!Only a Total Dumbass Travel to College World Series without Corona Virus Vaccine Shot!,0.26,0.74,Negative,,p,p,p,n,
a really unpopular opinion ive developed all year: im aggravated that bill gates keeps pushing a vaccine when hes not a doctor or medical professional and is a college drop out. leave it to doctors and stop budding in. google to this day still says the survival rate is 99.8%.,0.00,1.00,Negative,,u,a,a,y,
ONS reported 91% vaccine positivity on 7th FebOxford University 80% of all adults 23rd FebImperial College (!!!) 77% 21st FebBMJ 90% 14th FebThese are of adult measuresI could go on,1.00,0.00,Positive,,u,p,p,y,
Zero college baseball players have been seriously affected by COVID this year with or without the vaccine. The protocol is a joke and has no logic since these two teams just played yesterday.,0.46,0.54,Negative,,a,a,a,y,
#InformedConsent Exclusive: Dad Says Life Not the Same for 21-Year-Old College Student Who Developed #Myocarditis After Second Moderna Shot ... to meet vax mandate to attend school,1.00,0.00,Positive,,a,a,a,n,
"1/2: Get ready for plan B. Reg CV didnt accomplish goal. Delta CV will bring mask mandate, vac for all college and school kids and additional vaccine to combat newer CV. Amazing how (fast and effective) these vaccines are created. People r stupid.",0.58,0.42,Positive,,u,p,u,n/a,
College vaccine mandate to forward. Interesting...,1.00,0.00,Positive,,u,u,u,n/a,
"Weve taken President Bidens pledge to be a Vaccine Champion College! Please help us spread the word about our upcoming COVID-19 Vaccine Clinic being held Friday June 18 from 10 am - 2 pm on our Brockton campus. Appointments are recommended, not required:",1.00,0.00,Positive,,p,p,p,y,
"Well then cross UC Berkeley off your list. They are pushing it. They told me son will not be allowed on campus at all without the vaccine. A few of us are not going to give to our kids l, now they may not be able to go to college this fall.",1.00,0.00,Positive,,a,a,a,n,
10 Cadets of 23 Bihar Bn NCC Bhagalpur were given COVID vaccine at Jawahar Lal Nehru Medical College &amp; Hospital #Bhagalpur as part of Central Governments free vaccination drive for all above 18 years of age.#Unite2FightCorona #JanAndolan,1.00,0.00,Positive,,p,p,p,y,
"Broad mandates in the civilian population of an unapproved Emergency Use Authorization product are unprecedented, and the legality may ultimately be answered in court.SUBSCRIBE to #TheDefender:",0.00,1.00,Negative,,a,a,a,y,
Hi - yes you need to be over 40 at Jacobs Well due to the type of vaccine given (Astra Zeneca). You need an 8 week interval and the same as your first dose for your second so if its Pfizer you need to go to Bradford College. You can drop in they are open daily until 6.30PM. Mel,0.69,0.31,Positive,,p,p,p,y,
"If only that vaccine were fully approved, and didnt have potentially dangerous side effects for young men specifically, especially of the college age who have almost negligible risk from Covid to begin with.",0.76,0.24,Positive,,a,a,a,n,
"Sorry, no sympathy for NCSUs elimination from NCAA baseball tourney: Coach Avent wouldnt say whether he was vaccinated or if he encouraged his players to avoid or take the vaccine that could have protected them from such a situation.Read more here:",0.49,0.51,Negative,,p,p,p,n,
Not sure why no one is talking about this. They were canceling college athletics because of a very few cases dude to Covid yet an astronomical number caused by vaccine and silence. Not saying vaccine is bad but I know the below isnt good for sure,0.22,0.78,Negative,,a,a,a,y,
"Freedom of choice!Gov. Ducey: Arizona college students cant be mandated to take COVID-19 vaccine, wear masks",1.00,0.00,Positive,,a,a,a,n,
"Last month, Luther announced it would keep face mask &amp; social distancing requirements in place until certain criteria, including at least 70% of the campus community voluntarily providing proof of vaccination, are met.",1.00,0.00,Positive,,u,p,u,n/a,
"Could this be such a blunder??? booked vaccine at Rishikul College Haridwar (covaxin 1D),vaccine in-charge tells me that we dont have availability of covaxin first dose at our place, this booking is technical system error,",0.00,1.00,Negative,,p,u,p,n,
Hahahahahaha with a response like this you know this dude didnt gaf if anyone on his team got vaccinated. And now look. All that hard work for nothing. Youre not better than a pandemic bc you choose not to believe it. Vaccines are literally free.,0.85,0.15,Positive,,p,p,p,y,
"How many more 19 yr olds should have to risk dying of heart problems from vaccinations in order to attend college where every student, staff and employee has had the opportunity to protect themselves by getting vaccinated if they so choose?",0.53,0.47,Positive,,a,a,a,n,
"Crowder made a gimmick for years out of debating unprepared/inexperienced college kids, but freaks out when confronted by a mature adult who knows their shit on a subject. His gimmick is entirely fantasy - unfortunately, fantasy like vaccine misinformation gets people hurt.",0.26,0.74,Negative,,p,p,p,n,
ppl getting mad over colleges making vaccines mandatory as if its a new thing??? every public k-12 school OR college ive ever attended requests a vaccine record and literally wont let you on their campus as a student until youre up to date on vaccines. yall are goofy,0.26,0.74,Negative,,p,p,p,n,
Havent had your COVID-19 vaccination yet? If you are aged 18 plus you can go to walk in to Bradford College on Saturday or Sunday between 9am and 6.30pm.Vaccine is suitable for 18 and over. First and second doses. The full schedule of drop ins is here:,0.00,1.00,Negative,,p,p,p,n,
Are you university/college-aged and worried about myocarditis from an mRNA vaccine? Worry more about myocarditis from covid. Vaccination is still less of a risk.,0.00,1.00,Negative,,p,p,p,n,
Sir v had appointment for today in RA Poddar Medical College for 12pm - 3pm . After reaching the center v are informed that vaccine is over. Around 10 to 12 people were left without vaccination with confirmed appointment from cowin.,1.00,0.00,Positive,,p,u,p,y,
"I have already taken first dose of vaccine. after first dose can I go in crowd , college or other small functions. It is safe or not for me .",1.00,0.00,Positive,,p,p,p,y,
I believe players right to a vaccine decision and I want college players compensated its there name that makes them money so Im RIGHT HERE lol,1.00,0.00,Positive,,a,a,a,n,
"13...first COVID-19 vaccine dose,for a chance to win one of 50, four-year full-ride scholarships (including tuition, fees, room-and-board, and expenses) to any New York State public college or university.",1.00,0.00,Positive,,p,p,p,y,
Luther College joins COVID-19 College Vaccine Challenge,1.00,0.00,Positive,,p,p,p,y,
"1/2 I had two doses of Covishield vaccine in KG Somaya Medical College Hospital,Mumbai on payment of admin. charge . Arrangements were nice. Rush and waiting time was less. Now only a few CorporateHospitals are able to buy vaccines from manufacturers and ...",1.00,0.00,Positive,,p,p,p,y,
. 19-Year-Old College Freshman Dies From Heart Problem One Month After Second Dose of Moderna Vaccine Childrens Health Defense,0.36,0.64,Negative,,u,a,u,n/a,
LSU Board wants state to make COVID vaccine mandatory for college students,1.00,0.00,Positive,,u,u,u,n/a,
"If athletes wont get vaccine, this College World Series disaster is going to keep happening",0.00,1.00,Negative,,p,a,p,n,
"Want a FREE 1-Day Ticket to #Lolla + access to a special Lolla show at House of Blues? Receive both, get your COVID-19 vaccine at #LollaDay this Saturday 6/26 on our campus. Make your appointment today at",1.00,0.00,Positive,,p,p,p,y,
"The Mass VaxMillions vaccine lottery will award five $1 million cash prizes to fully vaccinated adults, and five college scholarships to residents between 12-17 years old.",1.00,0.00,Positive,,p,p,p,y,
"Any mandated enforcement for students to take a poisonous vaccine in order to continue attending a college is despicably unethical and wholly unconstitutional, representing a clear violation of ones protection under the 14th Amendments privileges &amp; immunities clause.",0.34,0.66,Negative,,a,a,a,y,
"The inimitable Ive Jones- who just finished her freshman year of college!- introduces the president here in Raleigh as he kicks off a vaccination canvass event. To get the vaccine is to honor you, your community, and to honor the gift of another day. Well said, Ive.",1.00,0.00,Positive,,p,p,p,y,
"Coach refusing to say whether covid positive players were unvaccinated, or even whether he himself is vaccinated.",0.57,0.43,Positive,,u,u,u,n/a,
The College Network Could the US Have Saved More Lives 5 Alternate Scenarios for the Vaccine Rollout,1.00,0.00,Positive,,p,u,u,n/a,
"Everything is open dude. I went to college in 2011, I needed a vaccine for tuberculosis. I didnt have it, I had to get it and done deal. I was able to go. Right now is the same thing, they want to be cautious so the can stay open and have in-person learning.",0.48,0.52,Negative,,p,p,p,n,
I AM A 72 YEAR OLD WIDOW---and DESPERATE to get into USA on Wednesday--have vaccine certificate-ESTA and covid tests ordered before I fly- I am raising college funds for my two God Children 8 and 5 whoes daddy died in January . pat123pat.com PLEASE CAN YOU HELP .,0.56,0.44,Positive,,p,u,p,y,
Our Doctor up at Lake Tahoe this weekend and discussing NC State forfeit issue he says...50%+ College Age Kids show some myocarditis from getting regular Flu and about .0001% College Age Kids show it after Corona Virus Vaccine! Freaking Nuts they weren\t Vaccinated!,0.00,1.00,Negative,,p,p,p,n,
To Honble cm To day in dharmapuri covid 19 camp conducted at govt arts college nearly 500 token used I had injected covi shield since I am aged 73 years old thank the honble cm for sending of vaccine Valga valamudan,1.00,0.00,Positive,,p,p,p,y,
"He won a full college scholarship for getting vaccinated! There is only one #OhioVaxAMillion drawing left. If your child age 12-17 has had at least one dose of vaccine, they can register for a chance to win at",1.00,0.00,Positive,,p,p,p,y,
"Hi, Can someone tell which vaccine will be provided at sheriden College clinic. Is it pfizer or moderna ? Thanks",1.00,0.00,Positive,,p,p,p,y,
Question is how many high school and college athletes have lost their life to China Virus and how many have lost their life to the experimental vaccine. If the vaccine works why test? 20000 fans every game side by side and 50% or more not vaccinated.,0.00,1.00,Negative,,a,u,a,y,
I dont get it. My son drove home to CA from college in Ontario in May and stopped at a Walmart on the way home to get snacks and the J&amp;J vaccine (he wasnt eligible in Canada). Want normal back? Get vaccinated!,0.37,0.63,Negative,,p,p,p,n,
"Your concerns over the Drs well being I cant speak to (sounds specious). WRT experimental products and informed consent we concur. The risks and uncertainties arent disclosed, whilst the College is unconcerned with mass legal/ethical failure.",0.29,0.71,Negative,,u,a,a,y,
"I completely agree and understand that my mom has a low immune system and is not eligible to get the vaccine due to other medical issues. The reason I got it is bc I will be returning to my college campus in the fall and have to spend 3+ in class/labs, as I still live with my fam",0.71,0.29,Positive,,p,p,p,y,
Back to my college after 1 year to get my vaccine Thank you and Fully Vax!,1.00,0.00,Positive,,p,p,p,y,
"Its been over a year and Ive not followed a single CDC guideline and havent gotten sick. But now if I want to return to school I have to either get sick from a mask, or god only knows because of the vaccine....A college should not make me choose between those",0.57,0.43,Positive,,a,a,a,n,
"Feel bad for the team. Thats terrible to have rug pulled out from under yall like that. My only suggestions, come out even more determined next year, &amp; when theres a pandemic w/ a vaccine available-GET EVERYONE VACCINATED!!! #Basic",0.41,0.59,Negative,,p,p,p,n,
Wake the f up people!!!! Cant require to ask about vaccine status but by god you have to tell your political views for college!,1.00,0.00,Positive,,u,a,p,y,
you literally have to get a TB test and send proof of vaccinations to college. the covid vaccine is only controversial because people are selfish fucks who pride themselves on listening to conspiracy theories made by smooth brained losers,0.14,0.86,Negative,,p,p,p,n,
"Saw you visted a vaccination site today. Watch how your colleagues in the College of Pharmacy are doing awesome vaccine work! Just Giving Information is Very, Very Powerful",1.00,0.00,Positive,,p,p,p,y,
(2/2) The risk of myocarditis with covid was enough to cancel all of US college athletics. VAERS now shows almost 300 cases after the vaccine. How many cases of myocarditis in [very low-risk] youth is acceptable for the greater good? Consistency and informed consent?,0.71,0.29,Positive,,a,u,a,n,
Youre not correct. He is the worst. Are You going to put your political beliefs on a college application. How about the Trans Rules? How about no vaccine proof needed at work and cruises? THe list is tooooooo long. Hes a bad guy. #RemoveRon,0.00,1.00,Negative,,p,a,p,n,
NC State baseball coach Elliott Avent on COVID-19 vaccine: I dont try to indoctrinate my kids,1.00,0.00,Positive,,u,u,u,n/a,
But our 16yr old son that doesnt have health issues really wants the vaccine before he starts college yet theres still no information for when/if he will qualify for it!,0.00,1.00,Negative,,p,p,p,n,
Another FIR in #vaccine scam in Mumbai. This time a film production house was cheated. One more college from Borivali has also come forward. If not for residents who came forward this group would have cheated many more people.,0.00,1.00,Negative,,u,u,p,n,
"According to the governor, crash drawings will be for all Nevada residents 18 and older who have received at least one dose of COVID-19 vaccine any time before the promotion ends.",0.00,1.00,Negative,,p,p,p,n,
Good on Gov. ! No public university should deny science and stop students from getting an education just to virtue signal further.,0.45,0.55,Negative,,a,a,n,y,
Mixing vaccines | Clinical trial will test COVID vaccine combinations to find out best way to protect,1.00,0.00,Positive,,u,u,u,n/a,
Vaccines save lives. Thanks to Madison and Madi for helping us get the word out about the safety and effectiveness of these shots.,1.00,0.00,Positive,,p,p,p,y,
"SALISBURY U.S. Rep. Andy Harris, a Republican representing the Eastern Shore, wants Gov. Larry Hogan to stop the University of Maryland System from mandating COVID vaccine for students, faculty and staff.",0.00,1.00,Negative,,u,u,u,n/a,
"More concerned about 250K Maderna vaccine Ur President got from USMrs brother waiting for second shot Astra Zenaca TW.BTW: Unlike Cell or iPad, forced to post Mainland UNICODE by Microsoft for Traditional charactersTaught Simplified Pinyin in College. Not zhuing fu hao",0.56,0.44,Positive,,u,u,u,n/a,
#BREAKING: 14 year old Vania Martinez is the first Cash for College scholarship winner of #COVID19 vaccine lottery. She says she got vaccinated after seeing the loss of people close to her.,0.62,0.38,Positive,,p,p,p,y,
"I figure, you dont need a college degree to be smart enough to not fall for the tracker in the vaccine theory. Your data is all tracked every time you use gps, your computer, your phone, your bankcard. So why do smart people still believe that shit?#antivaxconspiracy",1.00,0.00,Positive,,p,p,p,y,
Crushed it College course for the dayDrop off books for ZiffitVaccine appointmentBuddy read section of This LieTake IG photo of RabbitsFinish RabbitsSprints on my channel!,0.00,1.00,Negative,,u,u,p,y,
Wheres #BlackLivesMatter when the white supremacists vaccine murders a 19-year-old child? This beautiful black American child with her entire life ahead of her is now dead from a vaccine for a virus with a 99.9999% survivability rate for age.,0.27,0.73,Negative,,a,a,a,y,
Respected sir Degree College start in the month of September due to covid 19 students will take vaccine upto September students who got covid still they want to take vaccine upto 90 days after recovering from covid 19 situation,1.00,0.00,Positive,,u,u,u,n/a,
"-The Biden administration and ICE still have no clear plan to provide vaccine access to the more than 22,100 detained people in ICE custody.-backing away from a promise of free college/university tuition for students from families making less than $125,000",0.52,0.48,Positive,,p,u,p,y,
Please Stop The SBTET Diploma 1stSem Exams Are Held From July 5th. In our TS Inter 1st Year Students Were Promoted But Not we.We are not eligible to take vaccine.Please Help Us if 1 student get corna whole college and familes will suffer,0.53,0.47,Positive,,u,p,p,y,
"I find it very concerning that my college is pushing very hard about getting the vaccine. If theyre going to require online students to get the vaccine just to be admitted, Ill find another school. Im not taking that shit.",0.49,0.51,Negative,,a,a,a,y,
You have right to say no to vaccine so college has the right to reject your exam qualifications also pal use brain wei,0.00,1.00,Negative,,u,p,p,n,
I still have cousins dying from covid (one from yesterday) &amp; mfs think they finna pressure me into being into large social gatherings with a bunch of college students who most likely dont have their vaccine and dont even want to wear a mask.... LMFAOOOOnopeOOOOOOO,0.00,1.00,Negative,,p,p,p,n,
"No one is forcing this personne to do anything. These are the rules. If they choose not to get the vaccine, then the consequence is that you dont get to go to that college",0.00,1.00,Negative,,p,p,p,n,
"What a complete idiot this is. Saying fears are silly over vaccine side effects. Side effects do exist. There is no risk/reward study to show of the vaccine is at greater risk to young healthy college students, than covid itself. Its the kids body! Their choice!",0.36,0.64,Negative,,a,a,a,y,
COVID-19 College Vaccine Challenge,1.00,0.00,Positive,,p,p,p,y,
"Were making a change to support the BC immunization plan. To best support our regions vaccination needs, the COVID-19 test centre at Vancouver Community College will be transitioning fully to a vaccine clinic.Read the full announcement here:",1.00,0.00,Positive,,p,p,p,y,
"Bro once I get my vaccine later this month, I want the invite lol missed my opportunity to try with coworkers in college",0.80,0.20,Positive,,p,p,p,y,
"no it shouldnt because they should all be vaccinated. Covid is not over. It takes days to get a positive. Risk after exposure is real. Even healthy college kids can get very sick. They made a dumb choice to not get a free, safe vaccine they get the consequences.",0.40,0.60,Negative,,p,p,p,n,
All students in Human Studies in my college had to get their Hep B shots before they could graduate and Animal care students had to get their Rabies Shot for Protection! Its normal and now we add Covid19 Vaccine,1.00,0.00,Positive,,p,p,p,y,
Neighbors grand girls -12-20 age range - believe the Covid vaccine will harm their eggs so they cant have children. College grads or almost and Trumper parents also educated. Never assume the Trumpers all act like the Jan 6 crowd.,0.61,0.39,Positive,,u,u,p,y,
"Absurd. When I went to college I had to get a meningitis vaccine and I did so without complaint, and there wasnt a global meningitis pandemic at the time either.",1.00,0.00,Positive,,p,p,p,y,
19-Year-Old College Freshman Dies From Heart Problem One Month After Second Dose of Moderna Vaccine Childrens Health DefenseDO NOT GIVE EXPERIMENTAL VACCINES to our children! They are not affected!,0.31,0.69,Negative,,a,a,a,y,
Should I say encouraging? As many as 93 percent of the recipients of the Oxford-AstraZeneca vaccine at Dhaka Medical College have been found carrying antibodies against the coronavirus#COVID19 #VACCINE #antibody #Dhaka #Bangladesh,1.00,0.00,Positive,,p,p,p,y,
Im getting uncomfortable watching the state raffle off millions of dollars and college scholarships like its the lotto just so people will get the vaccine,0.49,0.51,Negative,,u,u,u,n/a,
Surgeon fired by College of Medicine for voicing safety concerns about Covid shots for children,0.44,0.56,Negative,,u,a,u,n/a,
"So the usual response, he didnt answer the question and spoke about the vaccine programme. But this story sounds an interesting development.",1.00,0.00,Positive,,u,u,u,n/a,
Pretty remarkable proposals tying college affordability/debt relief to lottery schemes or surviving terrorist attacks.,0.61,0.39,Positive,,u,u,u,n/a,
"I 100% believe its up to the individual whether to get the vaccine but this isnt unlucky. This was stupid. Pre the vaccine being widely available my heart broke for every team (HS, college, pro) that couldnt play but this was just playing with fire",0.13,0.87,Negative,,p,a,a,y,
"...scared herself. Since Tom Koch is retired and Im a unemployed college dropout and we both have a lot of time on our hands, could he come with me to get the vaccine? My mom hasnt gotten it also because she is also scared. I dont have the balls to go get it myself...",0.00,1.00,Negative,,a,p,p,n,
"Day 3rd, Mesco College, COVID-19 Vaccine Center, Mustaidpura, Swamy Yadav Corporater Along With Senior AIMIM leaders, Ward Committee Members, Primary Units Presidents &amp; Active Members visited the Center",1.00,0.00,Positive,p,u,u,p,y,
"If you don\t have time to listen to shenanigans, here is the summary: the Ontario College of Physicians censored people, MRN vaccine technology is new (Pfizer bad, AstraZeneca ok-I guess), COVID should be treated with vitamin D (sunlight?) &amp; an anti-parasitic drug (invermicin).",0.30,0.70,Negative,a,u,a,a,y,
My college just announced a vaccine mandate!Am I going maskless? Not sure yet; I guess well see where the numbers go. But at least theres a chance!!,0.77,0.23,Positive,p,p,p,p,y,
Sending your son to college? Is the vaccine risk worth it?,0.44,0.56,Negative,a,a,a,a,y,
New post: Clark Atlanta University welcomes Vice President Kamala Harris and accepts The White House COVID-19 college vaccine challenge Harris issued the challenge as,1.00,0.00,Positive,p,u,u,u,n/a,
"If i wasnt allowed into college without an MMR vaccine, they can be fired for not getting a covid vaccine",0.00,1.00,Negative,p,p,u,p,n,
"If you think the vaccine works, the only people at risk are the unvaccinated. Why then do you care if a healthy college kid gets it or not?",0.74,0.26,Positive,a,a,a,a,n,
This is bad take. Nobody should have vaccinations forced on them. You have to make the best choice for yourself and your family. I chose to get the vaccine because Im around sick people on a daily basis. But a college baseball player? Thats just ridiculous.,0.21,0.79,Negative,a,p,a,a,y,
I agree the people at risk 40+ are done now its time to target the vaccine toward social groups like college kids who will interlink through social interaction,0.71,0.29,Positive,p,p,p,p,y,
"College of Physicians and Surgeons of Ontario is censoring, harassing, intimidating and threatening physicians who provide truthful information regarding covid, early treatments and vaccine safety/risks in children.",0.24,0.76,Negative,a,a,a,a,y,
You should drop out of college if you wont get the vaccine. Simple. Problem solved.,0.31,0.69,Negative,p,p,p,p,n,
"A guy in a college fb group claimed he knows a lot if ppl who died from the experimental vaccine. A friend\s mom isn\t trivial, but it\s not a lot. He quoted the database where anyone can add unverified adverse effects and got mad when I said it doesn\t prove why they died.",0.00,1.00,Negative,p,p,a,p,n,
