"","text","word_scores","compound","pos","neu","neg","but_count","positive","negative","neutral","assigned"
"18","VT Health Commissioner Dr. Mark Levine, on the difficulty of getting 18 to 29 year olds not in college vaccinated: Most of them are not a truly vaccine-resistant group Its just not at the top of their list right now. ","{0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.406, 0, 0, 0, 0, 0, 0, 0, -0.592, 0, 0, 0, 0, 0}",-0.66,0,0.853,0.147,0,0,1,0,"Negative"
"19"," Thank you so much! My children attend a college where the vaccine has been mandated.  I hope, given this report, that they will resend the rule.","{0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.69,0.185,0.815,0,0,1,0,0,"Positive"
"20","The PRC team will collaborate with community partners to facilitate pop-up vaccine registration events. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"21","  It is new, because this vaccine isnt FDA approved and the long-term effects are unknown. Can girls in their 20s who need it for college, have children later in life? I dont know! You dont know! And the medical community doesnt know! Im not anti-vax, Im anti-mandate.","{0, 0, 0, 0, 0, 0, 0, 0, 0, -1.332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.495,0,0.936,0.064,0,0,1,0,"Negative"
"22","Highline College has joined numerous other colleges and universities around the country to take the #COVIDCollegeChallenge pledge and commit to action. Get the COVID-19 vaccine, Thunderbirds! #WeCanDoThisLearn more: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.359,0.084,0.916,0,0,1,0,0,"Positive"
"23","The PRCs goal is to reduce vaccine hesitancy and increase vaccine uptake in Clarkston by 50 percent by spring 2022. ","{0, 0, 0, 0, 0, 0, 0, -0.9, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.103,0.104,0.811,0.086,0,0.547368421052632,0.452631578947368,0,"Positive"
"24","when ur state insurance doesnt cover the vaccine you need for college &lt;3 god bless the usa ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1, 1.8, 0, 0}",0.599,0.246,0.754,0,0,1,0,0,"Positive"
"25","  The reason people under 30 havent been hit as hard - theyre college age &amp; schoolkids who werent as exposed to the virus as older adults. The schools &amp; colleges were learning remotely, especially until older adults had a vaccine. The vaccine adults got helped keep kids safe.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9}",0.406,0.08,0.893,0.027,0,0.747663551401869,0.252336448598131,0,"Positive"
"26"," Agree. My college student\s school has a vaccine incentive program. Such as free tuition and other gifts. Who knows what will happen to her when she gets older.","{0, 1.5, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.807,0.242,0.758,0,0,1,0,0,"Positive"
"27","    Vaccine Passport illegal but survey to gather political data on college students its okay-","{0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35}",0.013,0.133,0.737,0.13,1,0.505703422053232,0.494296577946768,0,"Positive"
"28","I chose to get the COVID19 vaccine not only for my own protection and health but also to protect those around me . . . choosing to get the vaccine protects me and the more vulnerable populations I interact with. - Annika Bassey, Harvard College, 22 ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95, 0, 0, 0, 0, -1.7895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.551,0.122,0.825,0.054,1,0.693181818181818,0.306818181818182,0,"Positive"
"29","  Look at those red numbers.  That is the incidence post-vaccine compared to what is typical without it.  The FDA is recommending warning kids about the risks but what good is that if they are being forced to get them in order to attend college? ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.7, 0, 0, 0, -0.55, 0, 0, 2.85, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0}",-0.34,0.074,0.787,0.139,1,0.347417840375587,0.652582159624413,0,"Negative"
"30"," But heaven forbid suggesting a college student get the Covid vaccine, right ?","{0, 0, 3.45, -1.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.361,0.229,0.619,0.152,1,0.601049868766404,0.398950131233596,0,"Positive"
"31","   Does it advise on how to deal with the bullying of a college to mandate an emergency use vaccine which puts children and college kids at risk of death, myocarditis, seizures, etc...?","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.9, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, -2.9, 0, 0, 0}",-0.91,0,0.699,0.301,0,0,1,0,"Negative"
"32"," Youre not correct. He is the worst. Are You going to put your political beliefs on a college application. How about the Trans Rules? How about no vaccine proof needed at work and cruises? THe list is tooooooo long. Hes a bad guy. #RemoveRon","{0, 0, 0, 0, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.5, 0, 0}",-0.88,0,0.805,0.195,0,0,1,0,"Negative"
"33","theres NO WAY students should be deprived of a college education because of an OPTIONAL vaccine","{0, -1.933, 0, 0, 0, 0, -2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.721,0,0.699,0.301,0,0,1,0,"Negative"
"34"," LITERALLY just told someone else I bought drugs from him in college lmaoooooo like seriously dont worry whats in the vaccine u take any type of pill sir","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, -0.7, 0, 1.406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.495,0.15,0.797,0.052,0,0.742574257425743,0.257425742574257,0,"Positive"
"35"," But if the college world is anything like MY industry, in every survey my patrons tell me they wont come back until they are assured that everyone else attending has been vaccinated. ","{0, 0, 0, 0, 0, 0, 0, 0, 2.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25, 0, 0, 0, 0, 0, 0, 0}",0.758,0.173,0.827,0,1,1,0,0,"Positive"
"36","Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college ","{0, 0, -2.7, 0, 0, 0, 0, -1.2, -2.1, 0, 0, 0, 0, 0, 0, 0}",-0.84,0,0.591,0.409,0,0,1,0,"Negative"
"37","   I agree with you on college vaccine mandates. Dont think we have strong enough data to support that","{0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 1.7, 0}",0.818,0.347,0.653,0,0,1,0,0,"Positive"
"38","      Thanks  thats useful to see. Although with no vaccine plan for 16-18s, college students remain in the firing line.","{0, 1.9, 0, 1.9, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0}",0.296,0.22,0.606,0.174,0,0.558375634517767,0.441624365482233,0,"Positive"
"39","The requirement applies to all full- and part-time students who plan to attend in-person. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"40","Union County College is hosting a free vaccine clinic on Wednesday, June 30th at their Cranford campus. The event will also feature giveaways and raffles for prizes such as gift cards, laptops, and free tuition for students.","{0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1.9, 0, 0, 0, 2.3, 0, 0, 0}",0.91,0.275,0.725,0,0,1,0,0,"Positive"
"41","Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college || SnowflakeYT || ig_sfg || SnowflakeYT || Sonu8726 ","{0, 0, -2.7, 0, 0, 0, 0, -1.2, -2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.84,0,0.7,0.3,0,0,1,0,"Negative"
"42","Wheres the national GOP taking a hardline stance against mandatory vaccination being forced at college students &amp; workers?Theyre too busy tweeting #JuneTeenth hashtags, bragging about vaccine sales &amp; taking selfies with Caitlyn Jenner. Why do people think they care?","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2}",0.217,0.111,0.821,0.068,0,0.620111731843575,0.379888268156425,0,"Positive"
"43","  May I know what kind of vaccine will be given for 2nd dose on June 24 at Seneca colleges Newnham location?  Thank you","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0}",0.361,0.098,0.902,0,0,1,0,0,"Positive"
"44","a really unpopular opinion ive developed all year: im aggravated that bill gates keeps pushing a vaccine when hes not a doctor or medical professional and is a college drop out. leave it to doctors and stop budding in. google to this day still says the survival rate is 99.8%.","{0, 0, 0, 0, 0, 0, 0, 0, 0, -1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, -0.2, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.751,0,0.846,0.154,0,0,1,0,"Negative"
"45"," My family has no idea, zero, what vaccinations I get...unless I tell them. These people can get the vaccine and keep quiet about it. Even kids who have anti vaccine parents are going out and getting all their vaccines without the parents knowing. They need them for college.","{0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.542,0,0.913,0.087,0,0,1,0,"Negative"
"46","Just got my second vaccine shot in a college gymnasium with Backstreet Boys - I Want It That Way playing in 128kbit MP3 quality on the doctors phone next to me. And, reader, I did want it that way","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0}",0.34,0.109,0.891,0,0,1,0,0,"Positive"
"47","College is not a right its a privilege. If you dont want a vaccine dont go or pick another school.Stop being selfish assholes.","{0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, -0.222, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, -2.8}",-0.683,0.084,0.641,0.274,0,0.23463687150838,0.76536312849162,0,"Negative"
"48","Isnt vaccination free for front line workers in Bangalore especially for doctors? PG students in vydehi medical college have compulsory covid duty and they have to pay for the vaccine..     ","{0, 0, -1.702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.4, 0, 0, 0}",-0.477,0,0.872,0.128,0,0,1,0,"Negative"
"49","To enjoy an uninterrupted fall sports season...teens and college students should get their two-dose series of Pfizer COVID-19 vaccine by June 27th, to be fully vaccinated by the Aug. 1 practice date. Schedule today at ","{0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.494,0.086,0.914,0,0,1,0,0,"Positive"
"50","Residents can get the 1st or 2nd dose of the Pfizer vaccine at any Fulton County site.The Johnson &amp; Johnson vaccine is offered 18+ at the Georgia International Convention Center in College Park and 4700 North Point Parkway in Alpharetta.More info: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"51","Take a look at this opportunity!  #student #chicago #college #Lollapalooza #vaccine ","{0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0}",0.475,0.236,0.764,0,0,1,0,0,"Positive"
"52","Indiana University students sue over coronavirus vaccine mandate ","{0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"53","Need your first #covid19 vaccine shot? Head to Vancouver Community College before 6pm today  ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"54","   vaccine ok . College yaake .","{0, 0, 1.4, 0, 0, 0, 0}",0.34,0.286,0.714,0,0,1,0,0,"Positive"
"55","#legal ","{0.5}",0.128,1,0,0,0,1,0,0,"Positive"
"56"," So no vaccine passports bc of privacy concerns but survey college students on their views and collect the information? No, no hypocrisy there.","{0, 0, -0.7465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.332, 0, 0}",0.149,0.089,0.844,0.067,1,0.57051282051282,0.42948717948718,0,"Positive"
"57"," The #IndianaUniversity students have every right to refuse the COVID vaccine, and they equally have the right to shlep burgers as college dropouts#FuckEm","{0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.913,0.087,0,0,1,0,"Negative"
"58","Our government is a disgrace! I have a son who is in college in Romania, and one who is going to Rowan University in the fall. The vaccine is voluntary for students in the former communist country while in the land of free, the vaccine is mandatory to attend college. ","{0, 0, 0, 0, -2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0.3, 0, 0, 0}",0.176,0.089,0.853,0.058,0,0.605442176870748,0.394557823129252,0,"Positive"
"59"," But they still have to get the vaccine to go to college?","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,1,NA,NA,1,"Neutral"
"60","We were so excited to have  partner with the White House to support Forsyth Technical Community College by providing $25 in GoPuff credits to community members working, volunteering, or receiving a COVID-19 vaccine at our clinic! Thank you, GoPuff!! #APlaceOfPromise ","{0, 0, 0, 1.693, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0}",0.883,0.238,0.762,0,0,1,0,0,"Positive"
"61"," Awesome interview Ana with the lawyer for the unvaccinated IU students! The thing I love about your interviews is you really challenge the other side and imo there is no defense for NOT getting the vaccine prior to starting up in college in the fall. Great job Ana!","{0, 3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 0, 0, 0, 0, 0, 0, 0.593, 0, 0, 0, 0, 0, 0, 0, 0, -0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1, 0, 0}",0.935,0.243,0.734,0.023,0,0.913533834586466,0.0864661654135338,0,"Positive"
"62","Niggas take the vaccine and act like they just graduated college","{-1.4, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0}",0.026,0.18,0.647,0.173,0,0.509915014164306,0.490084985835694,0,"Positive"
"63","Right headline: Colleges should get students vaccinated. Why are some still not doing so?Stop framing stories like this. Im thankful Im going to a college that is encouraging vaccinations, but it should be a requirement. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.75, 0, 0, 1.35, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 0}",0.649,0.164,0.836,0,1,1,0,0,"Positive"
"64","  The  did the same about face on their Initial recommendation that pregnant women not get the vaccine after getting pressure from American college of obstetricians &amp; gynecologist.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0}",-0.296,0,0.925,0.075,0,0,1,0,"Negative"
"65","The Sumner County Health Department announced today that Friday, June 25 will be the last day of COVID-19 vaccine administration at the Volunteer State Community College campus. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"66","Center: BMCC-DEENANATH HOSPITAL PVT (BMCC COLLEGE SHIVAJINAGAR PUNE, Haveli, Pune, 411004)Date: 24-06-2021Age Limit: 45Available Capacity: 83Vaccine: COVISHIELDSlots: , 10:00AM-12:00PM, 12:00PM-02:00PM, 02:00PM-04:00PM, 04:00PM-06:00PM","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"67","Center: BMCC-DEENANATH HOSPITAL PVT (BMCC COLLEGE SHIVAJINAGAR PUNE, Haveli, Pune, 411004)Date: 23-06-2021Age Limit: 45Available Capacity: 78Vaccine: COVISHIELDSlots: , 10:00AM-12:00PM, 12:00PM-02:00PM, 02:00PM-04:00PM, 04:00PM-06:00PM","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"68","My 12 year old 2nd vaccine  was 19 June 2021  who can we participate in the lottery for young people college tuition?","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"69","Parents of students in State College for the summer, your student can participate in the vaccine clinic being held on campus on Monday and Tuesday, June 28 and 29. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"70"," Try replacing them with these. Received mine today ","{0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"71","The American College of Rheumatology released recommendations for vaccinating #rheumatology patients against COVID-19. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"72","I dont think that you should be forced to get the COVID19 vaccine to go to college, that wrong and something needs to be done about that, my body my choice!","{0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.75,0,0.819,0.181,0,0,1,0,"Negative"
"73","Not sure why no one is talking about this. They were canceling college athletics because of a very few cases dude to Covid yet an astronomical number caused by vaccine and silence. Not saying vaccine is bad but I know the below isnt good for sure ","{0, -0.481, 0, 0.444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.15, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.25, 0, 0, 0, 0, 0, 0, -2.109, 0, -1.443}",-0.771,0.05,0.771,0.179,1,0.218340611353712,0.781659388646288,0,"Negative"
"74"," Sir you cant start the college As the Delta variant has arrived Youre putting students lives in dangerous as the vaccine is not more effective against delta variant    ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, 0, 0, 0, -1.77082, 0, 0, 0}",-0.707,0,0.821,0.179,0,0,1,0,"Negative"
"75","college could miss me with the vaccine requirements . ya not bouta make me get something that i dont want . fuck all ya","{0, 0, -0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.222, 0, 1.85, 0, 0}",0.257,0.107,0.787,0.106,0,0.502347417840376,0.497652582159624,0,"Positive"
"76","BS WHO said dont vaccinate children and college students... delta variant is a political ploy. and i see your going after red states... trying anything you can to force your experimental vaccine.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"77","Students sue Indiana University for requiring Covid vaccine. A college town in Springfield, Missouri cases are rising due to the more infectious Delta variant. They may have to shift patients to hospitals in other areas. More info: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
