"","access","mening","pandem","york","inelig","lot","nthe","program","summer","winner","countri","execut","healthi","research","semest","tomorrow","big","charg","decis","point","provid","sport","counti","famili","nvaccin","return","encourag","medicin","white","exam","monei","resid","coach","feel","governor","proof","footbal","posit","protocol","rate","understand","ducei","job","site","choic","wait","daughter","disast","draw","experiment","run","visit","walk","danger","drive","vax","american","call","tuition","immun","opinion","slot","certif","your","doctor","incent","parent","elig","friend","hous","join","safe","case","includ","learn","life","north","stop","hunter","institut","scienc","son","adult","govern","inform","read","approv","depart","hill","challeng","plan","polit","apologis","sir","talk","hospit","high","studi","enter","arizona","book","care","dr","good","wear","myocard","fulli","india","passport","show","gov","mandatori","person","live","take","thing","ban","basebal","protect","group","viru","announc","week","juli","cash","end","mistak","class","due","issu","staff","chanc","team","full","im","put","appoint","give","nc","prize","start","happen","back","educ","new","pm","plai","effect","center","children","open","order","freshman","player","june","offer","sydnei","forc","attend","nsw","dai","public","work","fall","young","lotteri","time","problem","million","di","risk","medic","mask","campu","win","test","dont","clinic","error","heart","seri","joseph","moderna","month","todai","shot","world","commun","jab","privat","free","make","athlet","scholarship","kid","st","ag","univers","receiv","state","mandat","health","amp","pfizer","requir","peopl","year","dose","school","student"
"opinion",2,2,2,2,2,2,1.96451914098973,2,2,2,2,2,2,2,2,2,1.96451914098973,2,1.93051811919736,1.96525905959868,2,2,2,1.92903828197946,2,2,1.96626984126984,2,2,2,2,2,1.86378066378066,1.96688560481664,2,2,1.96560846560847,2,1.76819923371648,1.96658312447786,1.96717783158461,2,2,2,1.89577717879605,2,2,0.451209992193599,2,1.96773354150403,1.96746031746032,2,2,2,2,1.96594516594517,2,2,2,1.96799795186892,0,2,2,1.96746031746032,1.96850198412698,2,2,1.96920161099266,1.93492063492063,2,2,1.93840322198531,2,2,2,1.96799795186892,2,1.96799795186892,2,1.96942110177404,1.96746031746032,2,2,2,2,2,2,2,2,2,2,1.96897546897547,2,1.96773354150403,1.9696342305038,2,2,2,2,2,2,2,2,2,2,1.96874236874237,2,2,2,2,2,2,1.91440626883665,2,2,1.97222222222222,2,1.94386372435153,2,2,2,2,2,2,2,2,2,2,1.81362007168459,2,2,2,1.91977225672878,2,2,1.97381770577647,2,2,1.71428571428571,2,2,0.980463980463981,1.97478118973446,2,2,2,1.97301587301587,1.9745115995116,2,2,2,2,2,1.90079365079365,2,2,2,1.97572362278245,1.97631448412698,2,1.97631448412698,2,2,1.97698412698413,1.97688060731539,2,2,2,1.97723043240285,2,1.95343915343915,1.95518207282913,2,2,1.95446086480569,2,1.91036414565826,2,2,1.97806637806638,0.923441734417344,2,2,2,1.52788862286069,2,0.95,2,2,2,2,1.97899877899878,0.94047619047619,2,1.93904761904762,2,2,2,1.98060585736642,1.79058669881455,1.98117713161961,2,1.96215640727836,2,2,1.98149540517962,1.98169389410265,2,1.98217385912698,1.91607703549363
"slot",1.96214285714286,2,2,2,2,2,1.9625350140056,2,2,2,2,2,2,2,2,1.92582417582418,2,2,2,2,1.96291208791209,2,2,2,1.16335978835979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.96519370460048,2,2,1.96396103896104,2,1.89642857142857,2,2,2,2,2,2,1.96519370460048,2,2,2,2,1.96574941451991,2,2,2,0,1.96547619047619,2,2,2,2,2,1.93095238095238,2,2,1.96721748400853,1.96626984126984,2,2,2,2,2,2,2,1.93095238095238,2,2,2,1.93443496801706,2,2,2,2,2,2,2,2,1.79449648711944,2,1.93650793650794,2,2,1.96785714285714,2,1.43080357142857,2,1.96844422700587,2,2,2,2,1.86974789915966,2,1.96932234432234,1.97009466437177,2,1.93896925858951,2,1.96979717813051,2,2,2,2,1.3218438538206,2,2,2,1.91194581280788,2,2,2,1.97115384615385,1.91417050691244,2,1.94206349206349,2,2,2,2,2,2,1.97204184704185,2,2,1.97183357879234,2,1.97279706275033,1.97204184704185,2,1.93989547038328,2,2,1.31318681318681,2,1.92121848739496,2,2,2,1.92223502304147,2,2,1.97373949579832,2,2,1.97433035714286,2,2,2,1.97489648033126,2,1.9261583011583,1.97529354207436,2,2,2,1.80485527544351,2,1.878663003663,2,2,2,1.95121381886088,2,2,2,2,2,2,1.88278132482043,1.97611876075731,2,2,1.95408163265306,2,1.44577412116679,1.97701465201465,2,2,2,1.95625358577166,1.40810104529617,2,1.95724346076459,1.97897830018083,2,1.97934173669468,1.97909407665505,2,2,1.89755639097744,2,1.35219911353563,2,1.9624625602292
"certif",2,2,2,2,2,1.96372549019608,2,2,2,2,1.96410256410256,2,2,2,2,2,2,2,2,2,1.89230769230769,2,2,1.96372549019608,1.96481481481481,2,2,2,2,1.92222222222222,1.96333333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.96609195402299,2,2,2,2,2,2,2,1.93218390804598,2,2,1.96693989071038,2,1.96720430107527,2,1.96547619047619,0,2,2,2,2,2,2,2,1.96794871794872,1.968407960199,1.93492063492063,2,2,2,2,2,2,1.2156862745098,1.96666666666667,1.96818181818182,2,2,1.968407960199,2,2,2,2,2,2,2,2,1.70245901639344,2,1.96944444444444,2,1.96924882629108,2,2,1.96770833333333,1.96862745098039,2,2,1.97083333333333,2,1.97083333333333,1.2156862745098,1.94197530864198,1.97051282051282,2,1.97083333333333,1.97067510548523,1.97113821138211,1.97098765432099,1.97142857142857,2,2,2,2,2,2,2,2,2,2,2,2,1.94516129032258,2,1.97222222222222,2,2,2,2,2,2,1.97323232323232,2,2,1.97302405498282,2,1.94797507788162,1.91969696969697,1.97398753894081,2,1.97222222222222,2,1.86858974358974,1.97448377581121,1.27296918767507,1.97362459546926,2,2,1.82688172043011,1.9509186351706,2,2,1.97552083333333,1.97520325203252,2,2,2,2,1.97608695652174,2,1.97657657657658,2,2,1.97671081677704,2,1.95359477124183,1.58235294117647,2,2,1.95268065268065,2,2,2,2,2,1.97755298651252,2,1.91086142322097,1.95549348230912,1.97730923694779,2,1.97783882783883,1.97823129251701,1.97833333333333,1.97809773123909,1.95641025641026,2,2,2,1.89658634538153,2,1.95923172242875,1.87887323943662,2,2,2,2,1.98078880407125,1.98070866141732,1.96140350877193,1.961800486618,1.75230708035004,1.88828125,1.9296870252203
"your",2,2,1.96333333333333,2,2,2,2,2,2,2,1.96410256410256,2,1.92745098039216,2,2,2,1.96372549019608,2,2,1.92893081761006,1.92820512820513,2,2,2,2,2,2,1.9231884057971,1.96515151515152,2,2,2,1.96515151515152,1.96609195402299,2,1.96446540880503,1.96481481481481,1.89545454545455,2,2,1.96638418079096,2,2,2,2,1.96666666666667,2,2,1.9625,2,2,2,1.93276836158192,2,2,1.96515151515152,1.96770833333333,2,1.96770833333333,1.96720430107527,1.96746031746032,2,2,0,1.96770833333333,2,1.96638418079096,1.968407960199,1.96666666666667,2,2,1.93681592039801,2,2,2,1.96720430107527,2,2,2,2,2,2,1.96818181818182,2,2,1.96884057971014,2,2,2,2,2,1.96818181818182,2,1.96693989071038,1.93768115942029,2,2,2,1.93809523809524,2,2,1.96862745098039,1.96963470319635,1.94069264069264,1.97083333333333,2,2,2,1.97098765432099,2,2,1.94166666666667,1.94135021097046,1.97113821138211,1.94197530864198,1.85714285714286,2,1.97113821138211,2,2,1.94197530864198,1.91666666666667,1.97170542635659,2,2,2,2,2,2,2,2,1.94625850340136,1.91739130434783,2,1.91703296703297,1.91907216494845,1.97362459546926,1.91969696969697,1.97323232323232,2,1.94604810996564,2,1.97398753894081,2,2,1.94227642276423,1.88888888888889,1.71089743589744,1.97371794871795,2,1.9749299719888,1.97362459546926,2,1.97440476190476,1.9752688172043,2,2,1.94985994397759,1.97552083333333,2,2,1.92744360902256,1.92777777777778,1.97619047619048,1.90434782608696,1.92931034482759,1.90630630630631,1.95296803652968,1.9764367816092,1.97671081677704,1.9037037037037,2,1.95359477124183,1.97692307692308,1.9764367816092,1.88170163170163,1.72156862745098,2,2,1.97727272727273,1.95447154471545,1.97755298651252,1.97734530938124,2,2,1.95461847389558,1.95555555555556,2,1.97823129251701,1.97833333333333,2,1.93461538461538,1.87058823529412,1.95761689291101,1.85222222222222,1.95863453815261,1.91707317073171,1.97961586121437,1.95962441314554,1.96033755274262,2,1.96106442577031,1.68455284552846,1.94236641221374,1.96141732283465,1.82631578947368,1.90450121654501,1.94284009546539,1.944140625,1.96484351261015
"doctor",2,2,1.964375,2,2,2,1.89430147058824,1.96514423076923,2,2,2,2,2,2,2,2,1.92953431372549,2,2,2,1.96514423076923,1.96476715686275,2,1.92953431372549,2,2,2,1.92527173913043,2,1.96215277777778,1.92875,2,1.96619318181818,1.93426724137931,2,2,2,1.96619318181818,2,1.93366228070175,2,2,1.89955357142857,2,2,2,2,2,2,1.96798155737705,2,2,2,1.93649193548387,1.96713362068966,1.93238636363636,1.96875,1.9359631147541,2,2,1.96850198412698,2,2,1.96770833333333,0,1.96899038461538,1.96742584745763,2,1.96770833333333,2,2,1.96944962686567,1.93700396825397,2,2,2,2,1.87298387096774,2,2,1.96770833333333,1.93844696969697,2,1.93889925373134,1.93889925373134,2,2,2,2,2,2,1.96922348484848,2,1.90394467213115,1.93976449275362,1.97048611111111,2,1.97029049295775,2,2,2,1.96966911764706,1.91202910958904,1.94277597402597,1.971875,1.87596153846154,1.971875,1.87867647058824,2,1.97155448717949,2,2,2,2,1.88811728395062,1.97247023809524,2,2,1.94375,1.97274709302326,1.88811728395062,2,2,2,2,2,2,2,1.97362231182796,1.89255617977528,2,1.97417091836735,1.92051630434783,1.97427398989899,1.97338598901099,1.94813144329897,2,1.94854797979798,1.92282196969697,2,1.89626288659794,2,1.95005841121495,1.92282196969697,2,2,1.94652777777778,1.97475961538462,2,1.92657632743363,2,1.97466626213592,1.95235655737705,1.97544642857143,2,1.97650098425197,2,2,2,2,1.8828125,1.93056860902256,1.93090277777778,2,1.93138586956522,2,1.97761824324324,1.95505136986301,2,1.91100993377483,1.90787037037037,1.77839052287582,1.97783905228758,1.95592948717949,2,1.97738199300699,1.97783905228758,2,2,1.91325757575758,1.97827743902439,2,1.93516092814371,1.97875702247191,1.95757681564246,1.93505271084337,1.95763888888889,2,1.97927295918367,2,1.93741819371728,1.95849358974359,1.97947303921569,2,1.93979166666667,1.96071787148594,1.92123983739837,1.98065752788104,1.86597711267606,1.94363132911392,1.96285029498525,1.87101715686275,1.83193597560976,2,1.96350065616798,1.81743421052632,1.89165145985401,1.85590692124105,1.96484375,1.88424396080219
"incent",2,2,1.92923076923077,1.96500754147813,2,2,1.96500754147813,1.23846153846154,1.92841444270016,1.74945054945055,1.96538461538462,2,2,1.96500754147813,1.96378205128205,2,2,1.96609686609687,1.96574746008708,2,1.89615384615385,2,1.89502262443439,1.93001508295626,2,1.96609686609687,1.6010989010989,2,1.83216783216783,2,1.96461538461538,1.86438746438746,2,1.96737400530504,1.93414304993252,2,1.96609686609687,1.96643356643357,2,1.83535762483131,2,2,2,1.96643356643357,2,2,2,2,1.85512820512821,2,2,1.96822194199243,2,2,2,1.8993006993007,1.96899038461538,2,1.87596153846154,2,2,2,2,2,1.96899038461538,0,1.96766623207301,2,2,1.8093316519546,1.93846153846154,1.96969001148106,2,1.81945701357466,1.94024526198439,1.90545905707196,2,2,2,2,2,2,1.96946386946387,1.96969001148106,2,1.9701226309922,2,1.9707264957265,2,2,2,2,2,2,1.9701226309922,2,2,2,1.88131868131868,2,2,1.93981900452489,2,2,2,2,2,2,1.97226970560304,1.97179487179487,1.9177015755329,1.97211538461538,1.97195715676728,2,2,1.97271062271062,2,1.97242026266417,1.97211538461538,2,2,1.73504273504274,2,1.89248452696729,1.38653846153846,2,2,1.97362637362637,2,2,2,1.87205651491366,2,1.87257187257187,1.97362637362637,2,2,1.94902874902875,1.8980574980575,1.46242263483643,2,1.975,1.97526959022286,1.97451437451437,1.92580877066858,1.97242026266417,2,2,1.975,1.97576582709326,2,2,2,2,1.9531017369727,1.76741368867353,2,2,1.97680288461538,2,1.88401442307692,1.93128976286871,1.97720797720798,1.86483516483516,1.97736900780379,1.6657824933687,1.93357588357588,2,1.57665782493369,2,2,1.97807943690297,2,1.97820512820513,1.75490716180371,2,1.97807943690297,1.95615887380593,2,2,2,2,2,1.83197925669836,1.95805758487323,1.78591288229842,2,1.97912087912088,1.81562009419152,2,1.71131695529601,1.95897435897436,2,1.50226244343891,2,2,1.98055034396498,1.94269373748928,1.96218851570964,1.87015579357352,1.98166553210801,1.98181426416721,1.94469981238274,2,1.96398142539875,1.94595141700405,1.98218229459105,1.96445749954103,1.94798677884615,1.75555711380689
"parent",2,1.96264268419232,1.92610169491525,1.96344300432037,2,1.96344300432037,1.92688600864074,2,1.92528536838464,1.96264268419232,2,2,2,1.92688600864074,1.96221751412429,1.96382007822686,1.92688600864074,2,1.96418292292933,2,2,2,2,1.85377201728149,2,1.96453232893911,2,2,2,2,1.96305084745763,2,1.96486902927581,1.89742840444185,1.9655069878085,1.96418292292933,2,2,2,1.93101397561701,1.96610169491525,2,1.96519370460048,2,1.92836584585865,1.93276836158192,1.93161893629456,2,2,2,2,1.96665740483468,1.96610169491525,1.96692181519956,2,1.96486902927581,2,1.96665740483468,2,2,2,2,2,1.96638418079096,1.96742584745763,1.96766623207301,0,2,1.93276836158192,1.96665740483468,2,1.9362509486466,2,2,2,2,2,1.93384363039913,2,2,1.96638418079096,1.93579866461222,1.93579866461222,1.9362509486466,1.9681254743233,1.96855809383444,1.9362509486466,2,2,2,1.96876513317191,2,1.96953733394411,2,2,1.96916195856874,2,1.93793268083075,1.90629539951574,2,2,2,1.96935221732064,2,1.97055084745763,1.93533246414602,1.94110169491525,2,2,1.97023033463711,2,1.97055084745763,1.94078523921905,1.91256717651922,1.97070516844528,1.94229217110573,2,1.97085572550641,1.94110169491525,2,1.97070516844528,1.97193973634652,1.97142294048088,1.97155659458406,2,1.94362978480289,1.97114608555287,1.97206183646862,1.97229815928558,1.94362978480289,2,1.97284676582497,2,1.97294983735662,1.91618550940585,2,1.9466842191871,1.94589967471323,1.97294983735662,2,1.89096627642845,1.94687092568449,1.89482021226041,1.91884951206985,1.9737050530651,1.94171145101282,1.97193973634652,1.97343546284224,1.94687092568449,1.81940902954852,1.92394245833927,2,2,1.97412227602906,1.87493165664297,1.9751768317096,2,2,1.95047669491525,1.97492076615681,1.97523834745763,1.97553205046515,1.92693032015066,1.92772397094431,1.97580447064603,2,1.95258818140174,1.97620153238913,2,2,1.92693032015066,1.95302979949042,1.97651489974521,1.88320295523685,2,1.97605784046462,1.95302979949042,1.88257449872604,1.97638418079096,1.97699024139702,2,2,2,1.97743286992954,1.97746425527886,1.95405350214417,1.95499058380414,1.95511268392624,2,1.97805084745763,1.95563049072677,1.86753585397653,1.97814888667331,1.9355778817394,1.65770244821092,1.9161391328024,1.74782968168665,1.938000126016,1.95905944139413,1.93965887148681,1.94030298485076,1.92099890803779,1.84001653575858,1.94151895458662,1.82383557987455,1.96083853702052,1.92247102973318,1.96132842522552,1.81097722457627,1.78567124515242
"elig",2,2,1.96507462686567,2,2,1.96546678372842,1.93093356745683,1.9316877152698,1.92933292720073,1.92933292720073,1.9658438576349,2,2,2,2,1.9658438576349,2,2,1.96620670233737,2,2,2,1.86186713491367,2,2,1.96655610834715,2,2,2,1.9257048092869,2,1.89966832504146,2,1.96783324755533,2,1.96620670233737,2,1.96689280868385,2,2,1.9362509486466,2,2,1.96689280868385,2,2,2,2,1.82120646766169,2,2,1.93736236848544,1.9362509486466,2,2,2,2,2,1.96944962686567,1.93789118921521,1.96920161099266,2,2,1.968407960199,2,2,2,0,1.968407960199,2,1.90907003444317,1.85074626865672,2,1.88147497805092,1.85290936621242,2,1.76465498593987,1.90683678382282,1.94157782515991,2,2,1.96992311171416,2,2,2,2,2,2,1.94275199345737,2,1.88315565031983,2,1.94312222670432,2,2,2,1.97191673212883,1.97099011982342,1.76631130063966,2,1.90834888059702,2,2,2,2,2,1.94514925373134,2,2,2,2,2,1.97241639901757,1.9457590098289,1.97272894785333,1.97316986496091,2,2,2,1.97344671988893,2,1.8698175787728,1.94689343977785,1.60370560988163,1.91772388059701,1.97383867180949,1.97316986496091,1.94817123175332,1.94864387738726,1.94767734361898,2,1.89948218093207,1.97420506164828,1.97497361676466,1.94817123175332,2,1.82756122301116,1.97497361676466,2,1.86790186996054,1.94953069703031,2,1.92718649741945,1.97497361676466,1.83010182731204,1.89151801965781,2,2,2,2,1.97667126552113,2,2,1.9761460554371,1.90804044294656,1.95440122223528,1.8408348880597,2,2,1.93083363669458,1.97726212686567,1.88777914936595,2,1.95586353944563,2,2,1.93495361032674,2,1.7381369016984,2,2,1.97853867915325,1.95707735830651,1.95732874091083,1.51991765311374,1.97808161987266,1.95707735830651,1.84977075407277,1.93522388059702,2,2,1.93788284013459,1.95817320582715,2,1.8974401734345,1.87430318288078,2,1.95916024274233,1.79972586049345,1.8605223880597,1.89919512385715,1.95989284347493,2,1.63044505976903,1.98063018242123,1.82952706347779,1.75312462079845,1.98135715474671,1.79708850115619,1.98191006990365,2,1.87591454492245,1.91012923188933,1.72048156165736,2,1.94732914375491,1.73962305262011,1.72300787233285,1.84809351679104,1.55656539544756
"friend",2,2,2,2,2,1.89117647058824,1.96372549019608,1.92820512820513,1.92585034013605,2,2,2,1.96372549019608,1.96372549019608,1.9625,2,2,2,2,2,1.96410256410256,2,2,1.56470588235294,2,1.96481481481481,1.89642857142857,2,2,2,1.96333333333333,1.96481481481481,2,1.93218390804598,2,1.96446540880503,2,1.96515151515152,2,1.96578947368421,1.96638418079096,2,1.96547619047619,1.93030303030303,2,2,1.83045977011494,2,2,1.93387978142076,1.96666666666667,1.93387978142076,2,1.90161290322581,1.93218390804598,1.96515151515152,1.96770833333333,1.96693989071038,2,1.93440860215054,1.93492063492063,1.93095238095238,2,1.96666666666667,1.96770833333333,2,1.93276836158192,1.968407960199,0,1.93387978142076,2,1.90522388059701,1.96746031746032,1.93725490196078,2,1.93440860215054,2,1.96720430107527,2,2,1.96666666666667,1.74545454545455,2,1.93681592039801,2,1.96884057971014,1.93681592039801,2,2,1.968407960199,1.96904761904762,2,1.93963963963964,2,1.93768115942029,1.90833333333333,1.97017543859649,1.90774647887324,1.96904761904762,2,1.93541666666667,2,1.93926940639269,1.94069264069264,1.97083333333333,1.93589743589744,2,2,2,1.97051282051282,2,2,1.94135021097046,2,2,2,2,2,1.85416666666667,1.97170542635659,1.94197530864198,2,1.94341085271318,2,2,2,2,1.97234432234432,2,1.97209737827715,1.97222222222222,2,2,1.91969696969697,1.97234432234432,2,2,1.97323232323232,2,2,1.94604810996564,2,1.97398753894081,1.86616161616162,2,2,2,1.92115384615385,2,2,2,2,1.97513661202186,2,2,2,2,1.9749299719888,2,1.97520325203252,1.87760416666667,2,1.85555555555556,2,1.92826086956522,2,1.90630630630631,2,2,1.95342163355408,1.9037037037037,1.93039215686275,1.95359477124183,2,1.9764367816092,1.97634032634033,1.97679738562092,2,1.95333333333333,1.95454545454545,2,1.95510597302505,2,1.97771535580524,1.91098696461825,1.93192771084337,2,1.88919413919414,1.89115646258503,2,2,2,2,1.95761689291101,1.93666666666667,1.95863453815261,1.95853658536585,1.97961586121437,1.89906103286385,1.98016877637131,1.94115044247788,1.94159663865546,1.90142276422764,1.90394402035623,1.94212598425197,1.92280701754386,1.961800486618,1.94284009546539,1.90690104166667,1.84179580674567
"hous",1.89081967213115,2,1.89081967213115,2,2,1.92799742847959,2,1.96437578814628,1.92639678822349,2,1.89312736443884,2,2,1.96399871423979,2,1.96437578814628,2,2,1.96473863284875,2,1.92875157629256,2,2,1.92799742847959,1.96508803885853,1.96508803885853,2,2,0.755290611028316,2,1.96360655737705,1.96508803885853,2,1.9663651780667,2,2,2,2,2,1.93212539545585,1.96665740483468,2,1.96574941451991,2,1.96473863284875,2,1.9663651780667,2,2,2,2,1.9344262295082,1.96665740483468,1.96747752511898,1.9663651780667,2,1.9359631147541,1.9672131147541,2,2,2,2,2,2,2,1.8093316519546,1.96665740483468,2,1.93387978142076,0,1.55510718789407,1.96868118424272,2,1.93780135004822,1.93822760750772,2,2,2,2,1.96890067502411,1.96693989071038,2,1.96845504222553,1.96868118424272,1.93736236848544,1.93822760750772,2,1.81830601092896,2,1.15439197455346,1.96932084309133,2,2,2,2,2,2,1.9695220503348,2,2,2,2,1.93981585448013,2,2,2,1.91331967213115,1.96890067502411,2,1.94157208911307,2,1.97110655737705,1.97094832952895,1.97141143542583,1.9712608783647,2,2,2,1.9422131147541,1.9719786504003,1.9712608783647,1.88998178506375,1.9719786504003,1.83267382702092,2,1.91711180696261,2,1.94523509277608,2,1.97237060232087,1.91748633879781,2,2,2,1.97261754638804,2,1.97389781951297,2,2,2,1.97329727902653,2,1.94852152596905,1.78804437820831,1.97426076298453,2,1.97249544626594,2,1.97399117276166,1.94951399970985,2,2,2,2,1.95108408249603,1.97573254162902,2,2,1.97579405737705,2,1.83055840163934,1.97608776038457,1.90479659987857,1.92939110070258,1.97636018056545,2,1.93054940186088,2,2,2,2,1.97707060966463,2,1.93158890290038,2,2,1.97707060966463,1.93121182899389,2,2,2,2,2,2,1.97801996519828,2,2,1.84678436317781,2,2,1.80533859754528,1.84934846574191,2,2,1.95832422586521,1.97959049312002,1.97954151672664,1.73855810835517,1.92034172246594,1.94132600124507,1.96131340973935,1.96161087385774,1.88334666133547,2,2,1.9048748921484,1.94352040205815,2,1.98165343237705,1.75772972488306
"join",1.82307692307692,2,1.82307692307692,2,2,2,2,1.96538461538462,2,1.96420722135008,1.82692307692308,2,2,2,2,2,2,2,2,2,1.96538461538462,1.96500754147813,1.96500754147813,2,2,2,2,1.9628762541806,1.53006993006993,1.96239316239316,2,2,2,2,2,2,2,2,2,2,2,2,2,1.93286713286713,2,2,1.96737400530504,2,1.96378205128205,2,2,1.9046658259773,1.96766623207301,2,2,2,1.87596153846154,1.96822194199243,2,2,2,2,1.96794871794872,2,2,1.93846153846154,2,1.90907003444317,2,1.55510718789407,0,1.93938002296211,2,1.96990950226244,1.76098104793757,2,2,2,2,1.90972850678733,1.96794871794872,2,1.93892773892774,2,1.90907003444317,2,2,1.88290598290598,2,1.06039035591274,1.97032967032967,1.96946386946387,2,2,1.9701226309922,1.9707264957265,1.97145748987854,2,1.91098901098901,1.9709167544784,1.96899038461538,2,1.91275026343519,2,2,2,1.91634615384615,2,2,1.97179487179487,1.9725671918443,1.97211538461538,1.97195715676728,1.97242026266417,1.88907882241216,1.97271062271062,1.9725671918443,2,1.97211538461538,2,1.97226970560304,1.94700854700855,1.91896243291592,1.86560565870911,2,1.84027657735523,2,2,2,2,1.78803418803419,2,1.97374581939799,2,2,2,2,1.97451437451437,2,2,1.97430610626487,1.975,1.97526959022286,1.87257187257187,2,1.97242026266417,2,2,2,2,1.97621202327085,2,2,2,1.90620347394541,1.95348273773471,2,1.97621202327085,2,2,1.90721153846154,1.90838635049161,1.93162393162393,1.95494505494506,1.93210702341137,2,2,2,2,2,2,1.97807943690297,2,1.80384615384615,1.97771883289125,1.97762237762238,2,1.9342383107089,2,2,2,2,2,2,1.93708637730984,1.93577386468953,2,1.66593406593407,2,1.95923076923077,1.97937978252114,1.97948717948718,2,1.98009049773756,2,1.92239728143343,1.98055034396498,1.69436659994281,1.98109425785482,1.9072541382668,1.96333106421602,1.90907132083603,1.9078330206379,1.9820708553533,1.9279628507975,1.98198380566802,1.96436458918211,2,1.98266225961538,1.75555711380689
"safe",2,1.96466646360037,1.96507462686567,2,2,1.96546678372842,2,2,1.96466646360037,2,2,2,1.93093356745683,1.96546678372842,1.92848258706468,1.9658438576349,1.96546678372842,1.96655610834715,1.89862010701211,2,1.9658438576349,2,2,1.93093356745683,1.96655610834715,1.89966832504146,1.96721748400853,2,2,1.96285240464345,2,2,2,1.83916623777663,2,2,1.96655610834715,1.93378561736771,2,2,1.9681254743233,2,2,2,1.93241340467474,1.968407960199,2,2,2,1.96868118424272,1.968407960199,1.93736236848544,1.9681254743233,2,2,1.96689280868385,1.96944962686567,2,1.96944962686567,1.90683678382282,1.93840322198531,1.96721748400853,1.968407960199,1.93681592039801,1.96944962686567,1.96969001148106,1.9362509486466,1.85074626865672,1.90522388059701,1.96868118424272,1.93938002296211,0,1.96920161099266,2,1.76465498593987,1.87578237843043,2,1.96894559460761,2,1.97036874451273,1.93681592039801,2,1.93984622342831,2,1.97014925373134,1.94116374648497,2,2,2,1.82089552238806,1.97078891257996,2,2,1.93736236848544,1.97058187324248,2,1.94383346425766,1.94198023964684,2,2,1.93889925373134,1.97036874451273,1.97137599672869,2,2,2,2,1.97036874451273,2,2,2,2,1.88966559607028,2,1.8909157914133,1.97316986496091,2,2,1.94514925373134,2,1.91818684355998,1.97396351575456,1.94689343977785,1.97358037399211,2,2,2,1.97408561587666,1.97432193869363,2,1.94792703150912,2,1.94841012329656,2,1.94817123175332,2,1.95073177800319,1.92492085029398,2,2,1.97476534851516,2,1.90291532989259,1.92492085029398,1.97572883247315,1.97287950491445,1.94792703150912,1.82821469575201,2,2,1.95334253104227,1.97536588900159,2,2,1.95402022147328,1.95440122223528,2,1.95334253104227,1.95452425373134,2,1.90904850746269,1.95511165974638,1.95533443891653,1.93379530916844,1.93348475016223,2,1.93495361032674,1.97822531179718,1.95635615028307,1.93535633092814,1.86600331674959,1.91415471661301,1.97853867915325,1.76530807500957,1.91271230056613,1.97808161987266,1.95707735830651,1.87123207491952,2,1.91605608322026,1.95795413178012,2,2,1.95891329867516,2,2,1.95903814262023,1.83664097096933,2,2,1.77822927248574,1.85962495216227,1.92069066432543,1.92219895995137,1.86441127694859,1.98105856260864,1.92403834486106,1.8508572379737,1.90776750052554,1.94573020971094,1.92849909743319,1.98227350641749,1.92810338551147,1.98253009760359,1.84204959454695,1.77175962293794,1.94792461052402,1.91343996010401,1.86497201492537,1.76244574756119
