"","text","positive","negative","assigned"
"26"," Youre not correct. He is the worst. Are You going to put your political beliefs on a college application. How about the Trans Rules? How about no vaccine proof needed at work and cruises? THe list is tooooooo long. Hes a bad guy. #RemoveRon",0,1,"Negative"
"27","theres NO WAY students should be deprived of a college education because of an OPTIONAL vaccine",0,1,"Negative"
"28"," LITERALLY just told someone else I bought drugs from him in college lmaoooooo like seriously dont worry whats in the vaccine u take any type of pill sir",0.742574257425743,0.257425742574257,"Positive"
"29"," But if the college world is anything like MY industry, in every survey my patrons tell me they wont come back until they are assured that everyone else attending has been vaccinated. ",1,0,"Positive"
"30","Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college ",0,1,"Negative"
"31","   I agree with you on college vaccine mandates. Dont think we have strong enough data to support that",1,0,"Positive"
"32","      Thanks  thats useful to see. Although with no vaccine plan for 16-18s, college students remain in the firing line.",0.558375634517767,0.441624365482233,"Positive"
"33","Union County College is hosting a free vaccine clinic on Wednesday, June 30th at their Cranford campus. The event will also feature giveaways and raffles for prizes such as gift cards, laptops, and free tuition for students.",1,0,"Positive"
"34","Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college || SnowflakeYT || ig_sfg || SnowflakeYT || Sonu8726 ",0,1,"Negative"
"35","Wheres the national GOP taking a hardline stance against mandatory vaccination being forced at college students &amp; workers?Theyre too busy tweeting #JuneTeenth hashtags, bragging about vaccine sales &amp; taking selfies with Caitlyn Jenner. Why do people think they care?",0.620111731843575,0.379888268156425,"Positive"
"36","  May I know what kind of vaccine will be given for 2nd dose on June 24 at Seneca colleges Newnham location?  Thank you",1,0,"Positive"
"37","a really unpopular opinion ive developed all year: im aggravated that bill gates keeps pushing a vaccine when hes not a doctor or medical professional and is a college drop out. leave it to doctors and stop budding in. google to this day still says the survival rate is 99.8%.",0,1,"Negative"
"38"," My family has no idea, zero, what vaccinations I get...unless I tell them. These people can get the vaccine and keep quiet about it. Even kids who have anti vaccine parents are going out and getting all their vaccines without the parents knowing. They need them for college.",0,1,"Negative"
"39","Just got my second vaccine shot in a college gymnasium with Backstreet Boys - I Want It That Way playing in 128kbit MP3 quality on the doctors phone next to me. And, reader, I did want it that way",1,0,"Positive"
"40","College is not a right its a privilege. If you dont want a vaccine dont go or pick another school.Stop being selfish assholes.",0.23463687150838,0.76536312849162,"Negative"
"41","Isnt vaccination free for front line workers in Bangalore especially for doctors? PG students in vydehi medical college have compulsory covid duty and they have to pay for the vaccine..     ",0,1,"Negative"
"42","To enjoy an uninterrupted fall sports season...teens and college students should get their two-dose series of Pfizer COVID-19 vaccine by June 27th, to be fully vaccinated by the Aug. 1 practice date. Schedule today at ",1,0,"Positive"
"43","Take a look at this opportunity!  #student #chicago #college #Lollapalooza #vaccine ",1,0,"Positive"
"44","   vaccine ok . College yaake .",1,0,"Positive"
"45","#legal ",1,0,"Positive"
"46"," So no vaccine passports bc of privacy concerns but survey college students on their views and collect the information? No, no hypocrisy there.",0.57051282051282,0.42948717948718,"Positive"
"47"," The #IndianaUniversity students have every right to refuse the COVID vaccine, and they equally have the right to shlep burgers as college dropouts#FuckEm",0,1,"Negative"
"48","Our government is a disgrace! I have a son who is in college in Romania, and one who is going to Rowan University in the fall. The vaccine is voluntary for students in the former communist country while in the land of free, the vaccine is mandatory to attend college. ",0.605442176870748,0.394557823129252,"Positive"
"49","We were so excited to have  partner with the White House to support Forsyth Technical Community College by providing $25 in GoPuff credits to community members working, volunteering, or receiving a COVID-19 vaccine at our clinic! Thank you, GoPuff!! #APlaceOfPromise ",1,0,"Positive"
"50"," Awesome interview Ana with the lawyer for the unvaccinated IU students! The thing I love about your interviews is you really challenge the other side and imo there is no defense for NOT getting the vaccine prior to starting up in college in the fall. Great job Ana!",0.913533834586466,0.0864661654135338,"Positive"
"51","Niggas take the vaccine and act like they just graduated college",0.509915014164306,0.490084985835694,"Positive"
"52","Right headline: Colleges should get students vaccinated. Why are some still not doing so?Stop framing stories like this. Im thankful Im going to a college that is encouraging vaccinations, but it should be a requirement. ",1,0,"Positive"
"53","  The  did the same about face on their Initial recommendation that pregnant women not get the vaccine after getting pressure from American college of obstetricians &amp; gynecologist.",0,1,"Negative"
"54","I dont think that you should be forced to get the COVID19 vaccine to go to college, that wrong and something needs to be done about that, my body my choice!",0,1,"Negative"
"55","Not sure why no one is talking about this. They were canceling college athletics because of a very few cases dude to Covid yet an astronomical number caused by vaccine and silence. Not saying vaccine is bad but I know the below isnt good for sure ",0.218340611353712,0.781659388646288,"Negative"
"56"," Sir you cant start the college As the Delta variant has arrived Youre putting students lives in dangerous as the vaccine is not more effective against delta variant    ",0,1,"Negative"
"57","college could miss me with the vaccine requirements . ya not bouta make me get something that i dont want . fuck all ya",0.502347417840376,0.497652582159624,"Positive"
"58","* Two from #LongIsland were among 10 to win a full ride to any SUNY or CUNY school after getting a COVID-19 vaccine. #DailyVoice ",1,0,"Positive"
"59","* Two from #SuffolkCounty were among 10 to win a full ride to any SUNY or CUNY school after getting a COVID-19 vaccine. #DailyVoice ",1,0,"Positive"
"60",", along with many other schools, is removing most restrictions for students with the Covid-19 vaccine. With #college #move-in being short months away, demand for vaccines continues for students. #dormmoving #dorm #collegemoving",0,1,"Negative"
"61","Students suing Indiana University over their vaccine mandate because its against their constitutional rights. Please tell me where in the constitution it says its a constitutional right to go to college?!?",0.583892617449664,0.416107382550336,"Positive"
"62","idk why these college and universities are making it mandatory for students to get this vaccine.",0.481481481481481,0.518518518518518,"Negative"
"63","  Also most of your understanding of COVID is based off the Alpha variant.  The Delta variant which is the dominant one targets younger adults.  As a college educated adult I took the vaccine because it is the smart thing to do.",1,0,"Positive"
"64","[BC] Hey #Vancouver!! Swing by Vancouver Community College for your vaccine and enjoy some live music! ",1,0,"Positive"
"65","Free college sound good to you? For anyone 12-17 years old, get the vaccine, then take your shot at one of nine (yes9) $100,000 scholarships. Visit ",1,0,"Positive"
"66"," One of my friends daughters did have some myocarditis post vaccine. She recovered well anc is still very happy to have vaccine mediated virus protection as she returns to college.",1,0,"Positive"
"67","Hey Vancouver! If you still need a first-dose COVID-19 vaccine, come by todays drop-in clinic to get your shot and enjoy some live music. Vancouver Community College - 1199 E 7th Avenue, Vancouver 9 a.m. to 6 p.m. 400 drop-in spots available ",1,0,"Positive"
"68","My college is now giving people $150 of bookstore credit to get the vaccine.No one gave me cool deals when I got vaccinated in February! Especially not for my textbooks.",1,0,"Positive"
"69","  im sorry u have to go through this! Senior hs &amp; freshman college are such memorable important years, I cant imagine having mine during the pandemic. Do u think vaccine delivery will improve soon enough for u to leave for school???",0.689655172413793,0.310344827586207,"Positive"
"70","Yes! Im so glad you said college students! Our college is gonna require students take the vaccine to return to campus and I dont want it! I already got covid! I needed the vax before I got covid lol ",0.896414342629482,0.103585657370518,"Positive"
"71","I hope yall not taking the vaccine just to go back &amp; finish your schooling / college courses .. thats a big mistake .. real spill",0.546961325966851,0.453038674033149,"Positive"
"72","   Shit , do you recommend some drug over vaccine which college did you graduate from  you are antivaaaaaaaax as simple as that",0.408888888888889,0.591111111111111,"Negative"
"73"," Kindly reply to my tweet regarding the date of 2nd dose of Covaxin at Jorhat College. I took the vaccine on 20-06-2021 but it has come 22-06-2021 in the certificate. Kindly make the due correction. ",1,0,"Positive"
"74","What does this mean for thousands of college students being forced into taking the vaccine?  What does this mean for our collegiate athletes? How many students will have to die before the CDC acts in the interest of our children?  Maybe a gap year should be seriously considered. ",0.24537037037037,0.75462962962963,"Negative"
"75","   Many people are being forced to get the vaccine to do many important things like work or finish college. The vaccine has actually killed many people  &amp; given many more health problems, including young people who wont be hurt by covid. You are ignorant &amp; rude",0.3125,0.6875,"Negative"
"76"," Do you know which vaccine will be administered at the Seneca College Newnham campus tomorrow June 24? Thanks!",1,0,"Positive"
"77","The 10 winners of a full scholarship to a SUNY or CUNY college or university. These are young folks age 12-17 who got their first vaccine dose and entered the drawing. Final drawing next week. ",1,0,"Positive"
"78","Why are we forcing students (MS thru college) to get a vaccine that is proving itself to be harmful when they have great success rates against C19 CDC finds more cases of rare heart inflammation than expected after Covid vaccine shots  ",1,0,"Positive"
"79"," No Vaccine, No school/college, No exams.#VaccinationDrive is first &amp; top most priority for all ages.Give vaccine 2doses, open whatever you want.",1,0,"Positive"
"80","Likely never get vaccine via new Monmouth poll:35% conservatives26% Republicans25% men25% no college22% non-white21% all Americans20% white17% under 35 years old17% women14% college grads11% over 65 years old6% Democrats6% liberals",0,1,"Negative"
"81"," Transfer to trump univ. or some christian college that might not require vaccine. when you entered kidergarten, you were required to be vaccinated against, mumps,polio,rubella,measles,small pox, etc.. This is no different than kindergarten, except half the country is brainwashed.",0,1,"Negative"
"82","Collin College is offering a COVID-19 vaccination clinic at the Collin Higher Education Center on Saturday, June 26, with the one-dose Johnson &amp; Johnson vaccine. No cost to participants. Open to the general public.",0,1,"Negative"
"83"," why is this okay? maybe dont force people who actually need money into getting the vaccine because they dont want it but have to bc theres a chance for money. fund it into kids who need money for college coming out of this pandemic? or maybe homeless ppl?",0.798165137614679,0.201834862385321,"Positive"
"84","Want to win $1 million or a college scholarship in the #MassVaxMillions Giveaway? You must be fully vaccinated to be eligible. Registration begins July 1 and if you arent vaccinated, you cant win! Make a #COVID19MA vaccine appointment today: ",0.636842105263158,0.363157894736842,"Positive"
"85","  the vaccine b/c of all of the risks but her college forced her to get it.  She went on to sort of equate risk from Covid infection to risks of vaccine. This is supposedly a medical professional? Its just so hard to understand how so many walk around misinformed.",0,1,"Negative"
"86","Companies arent the only ones facing a vaccine requirement conundrum. Colleges are facing a similar situation with students, and campuses are riskier due to the diversity of the population and living arrangements ",0,1,"Negative"
"87"," Im a liberal Independent, majored in biology,  and took a mandatory flu vaccine before starting college in 1976, shortly after I turned 17, which damned near killed me.Even the CDC recommends that I NOT get the Covid vaccine, because of my life-threatening response to that one.",0.246808510638298,0.753191489361702,"Negative"
"88","We are doing this for every student, faculty, and staff member at our college. LCOOC is taking the pledge and committing to action. Get the COVID-19 vaccine. #WeCanDoThis #COVIDCollegeChallenge ",1,0,"Positive"
"89","My son feels like hes having a heart attack 24/7, Follmer said. He now has high blood pressure, severe chest pains, back pain, elevated kidney levels, hypothyroidism, inflamed lymph nodes in different areas of his body, and he cant work or exercise.",0.131428571428571,0.868571428571429,"Negative"
"90"," also FWIW shingles is an absolutely dreadful virus, and i had a professor in college who came down with a nasty case of it in his late 50s, and he terrified every single one of us in his class to get our shingles vaccine when our time comes. he really regretted not getting his!",0,1,"Negative"
"91"," Absolutely you are right. They should stop mandating Covid-19 vaccine for college students and grade school students. The entire Covid-19 vaccine program should be stopped. Too many dangerous side effects and death. This is Claire Gavrel",0,1,"Negative"
"92","Maybe Ill have my first dose of the vaccine by my birthday!! People 20+ can start applying after July 3rd, but since Im away at college and need to get it at my place of residence, I can only do it after I leave, but this is really cool, cant wait",0.553846153846154,0.446153846153846,"Positive"
"93","Schools do not know the percentage of students who have received various vaccines; a more comprehensive assessment of vaccine coverage of college students is required.",1,0,"Positive"
"94"," Meanwhile a college student and resident in Washington State can get a free joint for getting their vaccine. How fucked up is this country? So fucking stupid. Smear this guys name and put him in jail for marijuana. Hey, but they handing out guns in Texas. ",0.229050279329609,0.770949720670391,"Negative"
"95","Its also the time of year ppl have to get vaccine boosters for college and thats usually one of the highly recommended onesstrange",1,0,"Positive"
"96","In 2020, a subsidiary, the American College Health Foundation, formed a working group of health professionals and charged them with assessing vaccine readiness and coverage at U.S. colleges and universities. This project was underwritten by Pfizer, which provided $120,000",0.526881720430108,0.473118279569892,"Positive"
"97","Olivet College is proud to be a member of the COVID-19 College Vaccine Challenge hosted by the White House and the U.S. Department of Education. Visit ",1,0,"Positive"
"98","Indiana University Students Sue Over Covid-19 Vaccine Requirement. You know that going to any particular college is voluntary, right? Like, if you choose disease and death, why not apply to Liberty University? ",0.262096774193548,0.737903225806452,"Negative"
"99","I find it very concerning that my college is pushing very hard about getting the vaccine. If theyre going to require online students to get the vaccine just to be admitted, Ill find another school. Im not taking that shit.",0.489795918367347,0.510204081632653,"Negative"
"100","Kirk Ferentz and five Hawkeye players met the media Tuesday, in person without masks. Chad Leistikow offers some of the top takeaways we learned. ",1,0,"Positive"
"101","Camp counselor shortage, airlines cut flights and raise prices, and college students sue over mandatory vaccines. Much more in  newsletter -------&gt; ",0.471337579617834,0.528662420382166,"Negative"
"102","We feel like we have a couple guys that can go at quarterback, a notable step forward for Alex Padilla, Ferentz says while offering encouraging remarks on Deuce Hogan, too. 6 thoughts/observations out of Hawkeye football interviews last night. () ",1,0,"Positive"
"103","The first drawing of the NC Vaccine lottery will occur today. The winner will receive One Million Dollars. Three more drawings will occur this summer through August 4, 2021. Vaccinated children (12-17) could also win $125,000 for college costs.",1,0,"Positive"
"104","  Those who are most hesitant to get the coronavirus vaccine include white evangelicals, Republicans, rural Americans, young adults and those without college degrees.",0,1,"Negative"
"105","Are you university/college-aged and worried about myocarditis from an mRNA vaccine? Worry more about myocarditis from covid. Vaccination is still less of a risk. ",0,1,"Negative"
"106","Regardless of what our fucking retard of a premier said there is no scientific backing that its ok to mix vaccine doses. Pls listen to the scientists and not a college dropout ",0.435344827586207,0.564655172413793,"Negative"
"107","MONEY HONEY : NC officials will pick the winners of the first round of the $1M coronavirus vaccine lottery today. The winner wont be revealed for a few days. One lucky vaccinated teen will also win a $125,000 college scholarship. ",1,0,"Positive"
"108"," Ever since this pandemic came out there is no mention of other virus flu an only hear about the convid an a making scheme an making kids who want to go to college get the vaccine which isnt right at all ..its just money going into greedy pockets an anything to make a dollar",0.154929577464789,0.845070422535211,"Negative"
"109","Students not smart enough to be in college or even to operate machinery. ",0,1,"Negative"
"110"," So the usual  response, he didnt answer the question and spoke about the vaccine programme. But this story sounds an interesting development.",1,0,"Positive"
"111","Measles vaccine may protect children against Covid-19, finds study by Pune researchers ",1,0,"Positive"
"112","A 21-year-old student who developed myocarditis after his second Moderna shot.a 19-year-old college freshman who died from heart surgery required after she developed myocarditis following her second Moderna vaccine.",0,1,"Negative"
"113"," It is an experimental vaccine, they used to pay starving college students to try this shit first. The coersion by the government is insane and since people are skeptical, look everyone a newer deadlier variant in the news this week. Fuck all that nonsense.",0,1,"Negative"
"114"," Let me be clear means let me feed you bullshit! Moderna sent the vaccine two weeks before the virus came out to NC college.",0.389380530973451,0.610619469026549,"Negative"
"115"," ONS reported 91% vaccine positivity on 7th FebOxford University 80% of all adults 23rd FebImperial College (!!!) 77% 21st FebBMJ 90% 14th FebThese are of adult  measuresI could go on",1,0,"Positive"
"116","Fourth FIR in fraudulent vaccine camps case-- this time at Borivali police stn. It pertains to a vaccine camp at Aditya college in Borivali on June 3 where staff &amp; their families had been given shots.  Ex Kokilaben Ambani Hospital employee Rajesh Pandey is  booked. ",0,1,"Negative"
"117","Mumbai vaccine scam gets murkier. 4th FIR in at Borivali police stn. Fake vax camp at Aditya College on June 3. Former Kokilaben Hosp staffer Rajesh Pandey booked.",0,1,"Negative"
"118","  Sir, No Vaccine  available  for 45+ people in J M College,bhurkunda. Request you to allow it with 18+",0.463917525773196,0.536082474226804,"Negative"
"119","Whilst I would love the vaccine right now, it seems mad to me that I as someone working from home would get it over a college student expected to sit in a full lecture hall in September. We have really screwed over 17-24yrs in Ireland by taking the best years of their lives away. ",0.556034482758621,0.443965517241379,"Positive"
"120","College Athlete Suffers after Second Jab: Follmer said no one told her about reporting her sons adverse reaction to the Centers for Disease Control and Preventions (CDC) Vaccine Adverse Events Reporting System (VAERS).",0,1,"Negative"
"121"," Yet you were vaccinated already or have you never attended any school or college which all demand your shot records and if u didnt, college makes you to attend. This vaccine is no different. Your and others logic is beyond flawed but, idc. Just stay 18 feet away downwind, k?",0,1,"Negative"
"122","I got a first vaccine on the COVID-19 in my college. After the vaccination I have a slight pain at my upper arm. I feel grateful.",0.5,0.5,"Negative"
"123","Hear from students at  College on the importance of the #COVID19 Vaccine. By working with the CCG, the students are helping to reassure and encourage everyone to get the vaccine when its their turn #LetsGetVaccinated ",1,0,"Positive"
"124","Sir v had appointment for today in RA Poddar Medical College for 12pm - 3pm . After reaching the center v are informed that vaccine is over. Around 10 to 12 people were left without vaccination with confirmed appointment from cowin.    ",1,0,"Positive"
"125"," Vaccine gives me weird vibes.. offering joints if you get the vaccine, money, movie tickets, a lighter prison sentence. Hell, even a college is charging students $1500 a semester if theyre not vaccinated. Just doesnt seem right",0.119341563786008,0.880658436213992,"Negative"
"126","I think if you have the opportunity to have the vaccine, then you should. ",1,0,"Positive"
"127","           #Reopencolleges PLEASE OPEN COLLEGE INSTITUTE WITH VACCINE CERTIFICATE AND MASK",1,0,"Positive"
"128","It will lead to more hospitalisations, however, this is going to be balanced by the rollout of the vaccine.Professor Derek Doherty, Head of Immunology at Trinity College Dublin spoke about the dangers of the Delta variant.#IrlAM #DeltaVariant #Covid19 ",0,1,"Negative"
"129","           Respected sir Degree College start in the month of September due to covid 19 students will take vaccine upto September students who got covid still they want to take vaccine upto 90 days after recovering from covid 19 situation",1,0,"Positive"
"130"," lots of outrage covid norms and malpractice at silchar TT college (disct- cachar Assam) online + offline Subase waiting karte karte last mein  kaha - vaccine not available ... (22  jun 2021) ",0,1,"Negative"
"131","Are any college age students in CHENNAI interested in participating as extras in a short for the TN Government on Vaccine Awareness? Shoot will be on the following Friday or Saturday (25th/26th) Please reach out to me in my DMs for more details.",0.715083798882682,0.284916201117318,"Positive"
"132","Every 11 oclock : Merkel mixes Covid vaccine: the first shot of AstraZeneca, the second shot of Modena; Jiangxi, Ningxia 2021 college entrance examination scores announced; Kansino Bio-Hong Kong stocks suspended for trading : ",0,1,"Negative"
"133","If they try to get me to take this vaccine then Im just going to have to drop out. Im tired of being indoctrinated by college anyway. mandatory vaccines would be the final straw for me.  ",0.170103092783505,0.829896907216495,"Negative"
"134","  Pretty sure those avoiding the vaccine aint going to college.",0.696177062374245,0.303822937625755,"Positive"
"135"," no vaccine available at RA Poddar college Worli. Was turned away post appointment. #FYI #Mumbai  ",0.535714285714286,0.464285714285714,"Positive"
"136"," Please Stop The SBTET Diploma 1stSem Exams Are Held From July 5th. In our TS Inter 1st Year Students Were Promoted But Not we.We are not eligible to take vaccine.Please Help Us  if 1 student get corna whole college and familes will suffer",0.52734375,0.47265625,"Positive"
"137"," You dont HAVE to chose employment there, Susy darling, but if you do, vaccination is a requirement.Much like you dont HAVE to travel to Togo, but if you do, malaria vaccine is mandatory.You didnt HAVE to go to college, but if you had, meningitis vax may have been needed.",1,0,"Positive"
"138","  If the vaccine really works they wouldnt be bribing people with college scholarships, lottery money and free beer... not getting it.",1,0,"Positive"
"139"," The Kind of Attention College Students and Colleges try to Seek for Future Admissions, Hes Attempting to make it Attractive but Kya kare the Ground Reality is Dominating. #modi_ka_vaccine_pr",0.413793103448276,0.586206896551724,"Negative"
"140","Why allow the slot booking for 9am to 11am, when Vaccine arent available on site(Womens College, Ranchi). The nurses claim, it will take more time for the vaccines to arrive, so stand in line and wait. Its 10:30am already    ",1,0,"Positive"
"141","   Please Stop The SBTET Diploma 1stSem Exams Are Held From July 5th. In our TS Inter 1st Year Students Were Promoted But Not we.We are not eligible to take vaccine.Please Help Us  if 1 student get corna whole college and familes will suffer",0.52734375,0.47265625,"Positive"
"142","Its for everyones safety | Rhodes College students say schools vaccine requirement is selfless act to keep people safe ",1,0,"Positive"
"143","However, I live pretty rurally, and Im still with my mom until I start college and eventually move out, and my mom is still very skeptical about said vaccine. She doesnt want vaccines for any of me or my siblings.",0.45625,0.54375,"Negative"
"144","Well its been a day.  Covid vaccine reaction, Humber college trying to make it impossible to work next year and finding out my favourite ea partner is moving across the country. #COVIDVaccination #endofyeargoodbyes",1,0,"Positive"
"145"," I took my 1st dose of vaccine #Covaxin on 13th May21 at N.N Saikia college, Titabor, Jorhat. My 2nd dose was due on 10th June21 and the last date is tomorrow i.e 24th June21. Will I get the same before LAST DATE AND ALSO AT THE SAME VENUE?? Pls Reply ASAP",1,0,"Positive"
"146","More fucking morons and college morons not knowing 14th Amendment has nothing to do with their case.good luck with that.Indiana University students sue school over vaccine requirement, allege constitutional rights violated",0.26,0.74,"Negative"
"147","     You yourself said college educated people are more likely to be vaccinated. Oh by the way nice dig at my education level . I replied with doctors not taking the vaccine. Also being faced with losing your job over not vaxing is relevant.",0.517543859649123,0.482456140350877,"Positive"
"148"," Bring it. Bring on Fall 2022 at every college campus that requires the vaccine across the country. Bring on on every Gen Z QT POC and lets teach them about the right to vote in the halls.   ",1,0,"Positive"
"149","  Not only for your own sake but to keep yourself from being a carrier and hurting someone who cant get the vaccine. And I know healthy college age students who were bedridden for weeks or a month with the disease",0.5,0.5,"Negative"
"150","should covid vaccine be mandatory for college students?",1,0,"Positive"
"151","   The US Community Preventive Services Task Force recommends vaccination requirements for ... college attendance based on *strong evidence of effectiveness* in increasing vaccination rates and in decreasing rates of vaccine preventable disease (VPD) ",1,0,"Positive"
"152","The vaccine clinic at Blackhawk Technical College will begin to ramp down operations as vaccination rates continue to remain low, with the clinic set to close by mid-July. ",0,1,"Negative"
"153"," #reopencollege PLEASE OPEN COLLEGE INSTITUTE WITH VACCINE CERTIFICATE AND MASK  PLZZZZ              ",1,0,"Positive"
"154","drop out during your senior year of college because of a vaccine when literally every device we own tracks us as if the government doesnt do that already  please stop the foolery ",0.243027888446215,0.756972111553785,"Negative"
"155","#cpso : for x-mas, I want to be free of my autoimmune condition that a vaccine induced and that my doctor never informed me of the potentialilty. And a big red firetruckWhen you call yourself a college, try to not make it look like a teenage movie ",1,0,"Positive"
"156"," If the anti-vaxxers win and can attend without vaccination, can TB+ students sue to attend without treatment? Then, are all college vaccine and public health requirements in Indiana null and void? Is the social contract null and void? Insanity.",0.540229885057471,0.459770114942529,"Positive"
"157","   Guess its equally scandalous that universities across states consider students who take Sinovac/Sinopharm shot fully vaccinated. ",0,1,"Negative"
"158","Luther College joins COVID-19 College Vaccine Challenge ",1,0,"Positive"
"159","My cousins college just increased tuition for those who arent getting the vaccine lmao we love to see it",1,0,"Positive"
"160","College vaccine mandate to forward. Interesting...",1,0,"Positive"
"161","Last month, Luther announced it would keep face mask &amp; social distancing requirements in place until certain criteria, including at least 70% of the campus community voluntarily providing proof of vaccination, are met. ",1,0,"Positive"
"162","The Colorado Lottery is restricted to 18+, (for some reason, correct?) but if youre 12-17 y-o and decide to get vaccinated, you will be entered to win a $50k state-sponsored college scholarship.",0.742105263157895,0.257894736842105,"Positive"
"163","TONIGHT on CHARLIE KIRK SHOW, 9p-12aET: Charlie and Congressman Andy Biggs talk about the audit in Maricopa County, the January 6th riots, 2022 election map, the staying power of Kyrsten Sinema, and vaccine passports on college campuses. Listen online at ",0,1,"Negative"
"164","Getting vaccinated is the best way to protect yourself, your loved ones, and our communities  and you could win $1 million! Other prizes include five $100,000 Oregon College Savings Plan scholarships. Vaccine info here: ",1,0,"Positive"
"165"," Shes gotta be the dumbest HW that thinks shes smart, considering she uses the I went to college line all the time. Just because you have antibodies doesnt mean you cant get sick with it or dont need the vaccine!",0.633507853403141,0.366492146596859,"Positive"
"166","I just talked to someone with no college education; minimum wage level job; 50 and refusing to get the vaccine. Because apparently,  all their past success has taught them all they need to know about getting vaccinated.",0.430693069306931,0.569306930693069,"Negative"
"167","  States wont be far behind as Hospital Staff in HOU were terminated for not getting the vaccine. College mandates this fall, Private enterprise given free will..just a matter of time.",1,0,"Positive"
"168","  Incredible. But really would like to see coeff of Trump share, after controlling for education, such as share college grad, vs. coeff with no controls. Lack of education predicts Trump support and education predicts covid vaccine uptake Maybe just the state level reg?",1,0,"Positive"
