"","access","mening","pandem","york","inelig","lot","nthe","program","summer","winner","countri","execut","healthi","research","semest","tomorrow","big","charg","decis","point","provid","sport","counti","famili","return","encourag","medicin","white","exam","monei","resid","coach","feel","governor","proof","footbal","posit","protocol","rate","understand","ducei","job","site","choic","wait","daughter","disast","draw","experiment","run","visit","walk","danger","drive","vax","american","call","tuition","immun","opinion","slot","certif","your","doctor","incent","parent","elig","friend","hous","join","safe","case","includ","learn","life","north","stop","hunter","institut","scienc","son","adult","govern","inform","read","approv","depart","hill","challeng","plan","polit","apologis","sir","talk","deenanath","have","navail","nslot","shivajinagar","high","pvt","studi","enter","arizona","book","care","dr","good","wear","myocard","fulli","india","passport","nage","show","gov","mandatori","person","live","take","thing","ban","basebal","protect","group","viru","announc","week","juli","cash","end","mistak","class","due","issu","staff","chanc","team","full","im","put","appoint","give","nc","prize","start","happen","back","educ","new","plai","effect","children","open","order","freshman","player","june","offer","sydnei","forc","attend","nsw","dai","public","work","fall","young","lotteri","time","problem","million","bmcc","hospit","di","risk","mask","campu","win","test","dont","clinic","error","heart","seri","joseph","moderna","month","todai","shot","world","center","commun","jab","privat","free","make","athlet","scholarship","kid","st","univers","receiv","state","mandat","health","amp","pfizer","requir","peopl","year","dose","school","pm","nmin","nnaval","vaccinepun","code","pin","cowin","ndate","limit","covishield","nvaccin","student","medic","pune","ag","ndose","capac"
"countri",0,1,7,0,0,0,0,0,0,0,53,0,3,0,1,0,0,2,1,1,3,0,0,0,1,1,1,3,0,1,1,2,1,0,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,4,1,0,3,0,0,1,1,0,1,0,1,0,3,5,0,3,0,0,1,0,1,0,0,2,1,0,1,1,2,1,1,0,3,2,2,0,0,1,0,0,0,0,0,2,0,1,1,0,0,3,0,2,0,0,0,1,2,0,1,0,1,2,5,2,4,2,1,1,1,1,0,0,0,0,3,3,0,2,2,1,1,0,0,0,3,0,2,1,1,2,0,1,2,0,1,1,0,0,2,0,2,0,0,0,1,3,0,2,3,1,3,2,0,3,0,1,0,0,1,1,2,2,0,2,2,0,0,1,1,0,0,1,0,1,3,0,3,1,0,5,5,3,0,5,0,7,2,5,1,1,5,1,9,6,5,2,8,1,0,0,0,0,0,0,0,0,0,2,11,0,0,4,0,0
"execut",0,0,1,0,0,0,1,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,5,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,16,0,0,0,5,0,4,8,1,3,1,0,0,19,0,4,0,0,2,0,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,24,1,0,5,1,0,0,0,0,0,0,0,1,2,1,0,1,3,0,0,2,0,0,0,0,25,14,18,38,0,2,0,21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,41,0,0,0,0,0
"healthi",1,0,0,0,0,0,0,0,0,0,3,0,53,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,4,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,2,0,1,1,0,0,0,2,0,1,1,1,2,0,0,4,1,0,4,0,1,0,0,1,0,0,0,1,1,4,2,0,5,0,0,0,2,0,2,3,0,2,0,4,2,2,0,0,0,6,0,0,0,1,0,0,1,1,2,0,16,0,1,3,0,0,2,4,12,3,0,0,8,7,1,0,0,1,0,0,3,0,2,1,0,0,0,0,2,4,17,0,17,0,2,2,3,5,2,0,0,3,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,3,0,0
"research",0,1,0,0,0,2,1,1,3,1,0,0,1,53,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,1,0,0,2,0,0,0,0,2,1,3,0,2,0,0,0,0,0,1,2,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,1,2,0,1,1,0,1,0,1,2,1,0,0,0,4,6,1,2,0,1,2,4,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,6,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,4,1,1,2,0,1,2,1,0,1,0,0,1,0,2,0,2,1,3,2,1,0,0,1,0,1,0,2,2,3,1,4,3,0,0,0,2,0,0,0,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,2,1,0,3,1,0,0,2,0,0,1,3,0,1,0,1,1,1,0,0,4,1,0,1,0,2,1,3,2,3,7,3,4,7,5,1,6,1,0,0,0,0,0,0,0,0,0,0,7,3,2,1,0,0
"semest",0,0,0,0,0,1,0,1,0,0,1,0,0,0,53,0,0,7,1,0,2,0,1,0,1,3,0,0,0,1,5,0,1,0,2,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,3,0,2,1,0,0,1,1,1,1,2,1,1,0,0,1,0,0,3,0,1,0,1,0,0,1,1,5,1,0,1,2,0,1,0,0,1,3,0,3,1,1,0,2,0,2,0,0,0,1,1,0,1,3,0,1,0,2,25,1,1,0,0,0,0,0,0,2,5,5,3,3,3,0,0,0,0,0,0,1,1,1,0,1,8,1,0,2,2,0,0,3,3,4,5,2,1,5,9,0,17,3,3,6,3,1,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,0
"tomorrow",1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,53,1,0,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,3,9,0,2,0,0,1,2,1,0,2,0,0,0,0,1,1,0,1,0,1,0,1,1,0,2,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,1,1,1,0,0,3,0,0,0,0,2,0,0,7,1,0,1,2,1,1,0,5,0,0,0,5,0,0,0,10,2,0,0,1,1,4,0,0,1,0,2,2,0,1,0,0,0,0,0,4,5,0,0,12,0,0,1,1,1,0,4,3,0,3,1,0,0,6,3,0,3,1,8,1,1,2,0,4,8,6,3,0,1,18,0,6,0,0,0,1,0,0,1,0,0,3,2,2,0,5,0,0
"big",1,0,1,0,1,0,0,2,5,0,0,1,1,0,0,1,54,0,1,1,2,1,0,0,0,1,0,1,1,1,0,3,2,2,3,1,1,0,0,3,1,3,0,1,0,2,1,5,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,2,0,2,0,0,0,0,1,0,1,6,3,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,5,0,1,1,0,2,0,4,0,0,0,0,1,1,1,0,1,3,2,0,3,2,1,1,1,0,0,5,1,2,1,0,0,1,6,1,0,1,1,1,2,1,2,1,6,2,6,7,3,1,1,1,1,0,4,2,0,0,2,1,1,0,2,4,0,1,0,4,0,8,0,0,0,4,1,0,6,2,3,0,1,0,2,0,0,0,1,0,4,0,2,0,2,3,3,6,1,5,1,0,0,3,4,3,10,1,0,3,2,3,7,1,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0
"charg",0,0,1,0,0,1,0,0,0,0,2,0,0,0,7,0,0,54,0,0,5,0,0,0,0,1,0,0,0,1,0,0,1,0,1,18,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,1,0,5,1,1,0,1,0,1,1,12,0,1,0,0,0,1,0,2,0,5,2,0,0,0,0,0,5,0,1,4,4,1,0,2,0,0,0,0,4,1,0,0,0,3,3,1,7,1,0,3,3,4,0,0,0,0,0,0,0,0,1,0,12,1,0,0,0,0
"decis",0,1,0,0,0,1,2,0,1,0,1,0,1,0,1,0,1,0,54,1,0,1,0,0,1,0,0,0,1,2,0,2,0,0,2,0,3,0,0,0,0,1,0,3,2,2,0,0,0,1,0,1,0,0,1,1,1,0,0,2,0,0,0,0,1,1,1,0,1,0,3,1,0,0,1,0,0,0,1,1,2,0,0,7,0,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,2,4,0,1,3,1,2,0,0,1,2,0,0,0,1,0,0,1,2,1,1,4,1,2,2,0,1,1,0,0,2,1,2,0,0,0,1,1,0,0,7,0,1,2,1,3,1,2,3,4,7,2,1,1,0,0,0,1,0,4,0,2,3,4,3,0,0,0,2,1,0,2,2,1,3,0,2,1,3,2,21,3,1,4,1,3,4,4,3,4,4,2,8,4,2,1,6,0,0,0,0,0,0,0,0,0,0,0,15,1,0,3,0,0
"point",0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,54,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,2,0,0,5,0,0,1,0,1,2,0,0,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,1,1,2,0,1,1,0,1,1,4,0,0,1,0,1,1,0,2,1,4,0,3,1,8,2,1,0,1,2,3,1,0,1,2,0,2,1,0,4,0,2,0,0,2,0,0,2,5,1,1,1,2,1,0,0,2,0,1,0,0,0,3,6,0,0,0,1,0,8,1,1,2,1,2,0,0,0,1,2,8,0,3,3,0,0,2,3,2,4,1,5,5,2,1,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1
"provid",7,0,1,0,0,1,0,1,0,0,3,0,0,0,2,1,2,5,0,1,54,1,1,5,1,1,0,2,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,2,1,2,3,0,0,1,3,2,1,3,0,0,1,2,1,1,0,2,1,1,0,0,0,1,0,2,0,1,4,0,1,0,0,2,3,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,1,1,0,0,0,1,2,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,4,0,1,0,1,0,3,2,0,0,2,0,4,1,0,0,0,2,3,0,0,0,1,1,0,1,3,0,3,3,7,1,1,1,0,1,0,0,1,0,1,3,3,1,0,0,6,0,0,0,0,1,2,3,3,1,2,7,1,1,9,4,0,0,1,2,5,3,1,1,4,7,3,5,6,0,1,4,0,0,0,0,0,0,1,0,0,0,0,16,2,0,1,0,0
"sport",0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,1,0,1,3,1,54,0,0,2,1,4,0,0,1,1,2,0,0,1,2,3,4,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,4,0,0,1,0,0,2,0,0,1,1,2,0,1,0,0,0,2,1,2,0,4,2,4,2,1,2,0,0,0,0,1,0,1,0,3,1,1,8,3,0,0,0,0,5,0,2,3,1,2,0,10,1,1,0,0,0,9,1,1,0,3,1,0,2,1,2,1,2,0,0,1,0,0,1,1,1,1,0,0,4,6,0,0,3,2,0,0,2,3,4,2,0,0,0,1,0,1,11,0,3,0,2,0,6,2,1,0,2,7,4,1,4,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0
"counti",1,0,0,1,0,0,1,1,2,2,0,0,0,0,1,2,0,0,0,1,1,0,55,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,1,6,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,1,0,1,4,0,0,1,1,0,0,0,0,0,0,1,1,1,7,1,0,6,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,5,0,0,0,4,0,1,0,2,5,3,1,0,0,0,0,0,0,3,5,1,0,1,3,0,0,9,5,1,1,0,2,0,0,1,3,0,0,0,21,5,0,0,0,0,4,2,0,0,0,4,0,0,5,0,0,0,0,0,7,11,0,1,18,0,0,3,1,0,1,4,5,3,6,13,0,0,3,1,0,10,0,4,1,3,6,0,13,3,6,2,1,2,4,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0
"famili",3,0,1,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,5,0,1,55,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,1,2,0,1,2,0,1,2,7,0,2,0,1,0,2,2,4,0,12,2,0,2,1,2,0,4,0,0,0,0,0,3,0,1,1,0,1,1,0,0,4,0,0,1,2,0,0,0,0,0,2,0,3,0,0,1,1,2,2,1,0,0,0,2,0,1,0,3,1,0,1,2,0,1,4,0,0,0,4,0,2,0,0,0,2,2,3,1,1,3,2,0,2,1,1,0,1,0,5,1,0,1,1,1,1,0,1,2,2,1,0,2,0,0,1,1,5,0,1,2,5,2,0,0,3,0,3,3,1,2,0,0,4,0,0,0,0,0,2,0,1,0,3,5,2,1,5,4,1,0,4,1,5,2,1,0,2,14,0,4,6,3,3,7,1,0,0,0,0,0,0,0,0,0,0,14,2,0,6,0,0
"return",0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,55,1,0,0,0,0,0,0,0,0,7,0,1,0,3,1,0,1,0,0,0,7,2,0,0,0,1,0,1,2,4,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,3,0,0,0,2,0,1,0,4,0,1,2,0,5,2,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,1,0,0,1,0,3,0,1,0,1,1,0,3,0,1,1,1,1,0,0,0,4,1,1,4,0,0,0,1,1,0,1,0,0,0,2,4,0,0,1,0,3,0,1,0,1,0,0,0,1,0,0,2,1,2,20,3,0,1,0,0,0,3,1,1,3,22,0,1,1,0,0,0,0,0,0,0,2,1,0,2,6,0,0,1,5,0,1,1,0,10,3,5,5,1,5,0,22,6,5,1,12,0,0,0,0,0,0,1,0,0,0,0,30,2,0,0,0,0
"encourag",0,0,1,0,0,0,1,11,1,1,1,0,0,1,3,0,1,1,0,0,1,1,0,0,1,56,1,0,0,0,2,6,2,0,0,2,1,0,1,0,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,12,0,0,3,0,0,1,1,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,3,0,2,0,4,2,0,0,4,1,1,11,1,0,2,0,1,3,3,2,1,0,0,1,1,2,7,0,1,1,1,2,2,0,0,0,0,0,6,0,2,0,0,1,0,0,0,4,4,1,2,0,1,12,0,0,0,0,0,3,4,0,0,2,0,0,3,0,1,8,2,6,4,0,6,8,1,2,2,2,3,1,0,3,0,6,2,3,7,0,4,8,3,3,6,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1,0,0
"medicin",0,0,0,0,0,1,1,0,1,0,1,1,1,6,0,1,0,0,0,1,0,4,0,0,0,1,56,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,1,7,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,2,0,1,1,0,1,0,0,2,0,1,0,1,4,1,4,2,0,0,0,1,0,0,1,2,5,1,2,1,5,10,0,4,1,3,1,6,1,0,0,0,0,0,0,0,0,0,1,4,3,0,1,0,0
