"","clean_text","date","text","retweet_count","favorite_count","reply"
"11","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 468,945,Dose2 Capacity: 392,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 22:20:06,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,945,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"12"," As a Rutgers College alumnus I support your refusal to accept the mandatory vaccination with the experimental and potentially dangerous vaccine.  Great job.",2021-06-23 22:19:56,"b'@Sara_Razi29 As a Rutgers College alumnus I support your refusal to accept the mandatory vaccination with the experimental and potentially dangerous vaccine.  Great job.'",0,1,1
"13","       Here read this article that says the rate of myocarditis in College athletes that have had COVID is 2.3%. Compare that to post vaccine (.001%).  ",2021-06-23 22:18:30,"b'@SoCalValleyGal @thisoldhowse @HolyHaole @AlexBerenson @lamphieryeg @AmerMedicalAssn @AmerAcadPeds Here read this article that says the rate of myocarditis in College athletes that have had COVID is 2.3%. Compare that to post vaccine (.001%).  https://t.co/2OIXTvD6qB'",0,0,1
"14"," Someone on our college parents board - objecting to the university announcing theyre requiring vaccines for the coming year - used her body, her choice about her daughter applying for medical/religious objection to the vaccine. I preemptively blocked that parent.",2021-06-23 22:15:40,"b'@ABDinAbsurdity Someone on our college parents board - objecting to the university announcing theyre requiring vaccines for the coming year - used her body, her choice about her daughter applying for medical/religious objection to the vaccine. I preemptively blocked that parent.'",0,0,1
"15","   Not necessarily.  I know two school teachers, a nurse and several people in business who refuse the vaccine, all college educated.Its crazy.",2021-06-23 22:08:35,"b""@AshleyS1184 @GetOffMyLawn23 @sandibachom Not necessarily.  I know two school teachers, a nurse and several people in business who refuse the vaccine, all college educated.\n\nIt's crazy.""",0,0,1
"16","It is not worth the risk. The Pfizer vaccine is not safe. Im really concerned about all of the college students going back to campus and these universities mandating vaccines...Mother of teen with heart damage. ",2021-06-23 21:57:23,"b'It is not worth the risk. The Pfizer vaccine is not safe. Im really concerned about all of the college students going back to campus and these universities mandating vaccines...\nMother of teen with heart damage.\n\n https://t.co/w4hN2jTUV1'",0,0,0
"17","NEW: Rhode Island College and the Community College of Rhode Island will require COVID-19 vaccine of all returning students ",2021-06-23 21:56:51,"b'NEW: Rhode Island College and the Community College of Rhode Island will require COVID-19 vaccine of all returning students https://t.co/V4HUC4Ypp8 via @BostonGlobe'",0,0,0
"18","Oupa Mpapi Kekana, an educator from ModiriTechnical College got his COVID-19 vaccine today at Stanza Bopape Community Hall. ",2021-06-23 21:53:45,"b'Oupa Mpapi Kekana, an educator from Modiri\nTechnical College got his COVID-19 vaccine today at Stanza Bopape Community Hall. https://t.co/WsjSQycGJA'",0,0,0
"19","Why these 3 new #COVID19 college and university vaccine mandates in Rhode Island and West Virginia may be significant ",2021-06-23 21:45:01,"b'Why these 3 new #COVID19 college and university vaccine mandates in Rhode Island and West Virginia may be significant https://t.co/ZurG7Q9LfL #highered #highereducation #college #universities #students #vaccine #vaccination #campus https://t.co/jfmKIciZw1'",0,1,0
"20","VT Health Commissioner Dr. Mark Levine, on the difficulty of getting 18 to 29 year olds not in college vaccinated: Most of them are not a truly vaccine-resistant group Its just not at the top of their list right now. ",2021-06-23 21:41:05,"b'VT Health Commissioner Dr. Mark Levine, on the difficulty of getting 18 to 29 year olds not in college vaccinated: Most of them are not a truly vaccine-resistant group Its just not at the top of their list right now."" \n\nhttps://t.co/K4SkEgPu3S'",0,0,0
"21"," Thank you so much! My children attend a college where the vaccine has been mandated.  I hope, given this report, that they will resend the rule.",2021-06-23 21:37:10,"b'@DonaldWelsh16 Thank you so much! My children attend a college where the vaccine has been mandated.  I hope, given this report, that they will resend the rule.'",0,0,1
"22","The PRC team will collaborate with community partners to facilitate pop-up vaccine registration events. ",2021-06-23 21:33:22,"b'The PRC team will collaborate with community partners to facilitate pop-up vaccine registration events. https://t.co/QdbmhVz65s'",0,0,0
"23","  It is new, because this vaccine isnt FDA approved and the long-term effects are unknown. Can girls in their 20s who need it for college, have children later in life? I dont know! You dont know! And the medical community doesnt know! Im not anti-vax, Im anti-mandate.",2021-06-23 21:23:10,"b""@mcm1071989 @JerseyRizzo It is new, because this vaccine isn't FDA approved and the long-term effects are unknown. Can girls in their 20's who need it for college, have children later in life? I don't know! You don't know! And the medical community doesn't know! I'm not anti-vax, I'm anti-mandate.""",0,3,1
"24","Highline College has joined numerous other colleges and universities around the country to take the #COVIDCollegeChallenge pledge and commit to action. Get the COVID-19 vaccine, Thunderbirds! #WeCanDoThisLearn more: ",2021-06-23 21:19:03,"b'Highline College has joined numerous other colleges and universities around the country to take the #COVIDCollegeChallenge pledge and commit to action. Get the COVID-19 vaccine, Thunderbirds! #WeCanDoThis\n\nLearn more: https://t.co/dFPv1w47dL\n\n#highlinecollege #getvaccinated https://t.co/g1aGcWagjf'",0,2,0
"25","The PRCs goal is to reduce vaccine hesitancy and increase vaccine uptake in Clarkston by 50 percent by spring 2022. ",2021-06-23 21:17:14,"b'The PRCs goal is to reduce vaccine hesitancy and increase vaccine uptake in Clarkston by 50 percent by spring 2022. https://t.co/jsHMDLdzRw'",0,0,0
"26","when ur state insurance doesnt cover the vaccine you need for college &lt;3 god bless the usa ",2021-06-23 21:15:19,"b'when ur state insurance doesnt cover the vaccine you need for college &lt;3 god bless the usa '",0,0,0
"27","  The reason people under 30 havent been hit as hard - theyre college age &amp; schoolkids who werent as exposed to the virus as older adults. The schools &amp; colleges were learning remotely, especially until older adults had a vaccine. The vaccine adults got helped keep kids safe.",2021-06-23 21:13:43,"b""@NEfred @WSJ The reason people under 30 haven't been hit as hard - they're college age &amp; schoolkids who weren't as exposed to the virus as older adults. The schools &amp; colleges were learning remotely, especially until older adults had a vaccine. The vaccine adults got helped keep kids safe.""",0,0,1
"28"," Agree. My college student\s school has a vaccine incentive program. Such as free tuition and other gifts. Who knows what will happen to her when she gets older.",2021-06-23 21:13:22,"b'@dogs_bourbon Agree. My college student\'s school has a vaccine incentive program. Such as free tuition and other ""gifts"". Who knows what will happen to her when she gets older.'",0,1,1
"29","    Vaccine Passport illegal but survey to gather political data on college students its okay-",2021-06-23 21:13:18,"b'@GovRonDeSantis @Seminoles @FloridaGators @UMAdmission Vaccine Passport illegal but survey to gather political data on college students its okay-'",0,0,0
"30","I chose to get the COVID19 vaccine not only for my own protection and health but also to protect those around me . . . choosing to get the vaccine protects me and the more vulnerable populations I interact with. - Annika Bassey, Harvard College, 22 ",2021-06-23 21:10:03,"b""I chose to get the COVID19 vaccine not only for my own protection and health but also to protect those around me . . . choosing to get the vaccine protects me and the more vulnerable populations I interact with. - Annika Bassey, Harvard College, '22 https://t.co/HhYMPMDN1v""",14,72,0
"31","  Look at those red numbers.  That is the incidence post-vaccine compared to what is typical without it.  The FDA is recommending warning kids about the risks but what good is that if they are being forced to get them in order to attend college? ",2021-06-23 21:07:56,"b'@MassGovernor @MassGov \n\nLook at those red numbers.  That is the incidence post-vaccine compared to what is typical without it.  The FDA is recommending warning kids about the risks but what good is that if they are being forced to get them in order to attend college? https://t.co/RdGMGr6IbP'",1,1,0
"32"," But heaven forbid suggesting a college student get the Covid vaccine, right ?",2021-06-23 21:04:05,"b'@DemocracyDocket But heaven forbid suggesting a college student get the Covid vaccine, right @RonDeSantisFL?'",0,0,1
"33","   Does it advise on how to deal with the bullying of a college to mandate an emergency use vaccine which puts children and college kids at risk of death, myocarditis, seizures, etc...?",2021-06-23 21:02:36,"b'@BCBookmarks @BCAlumni @bclynchschool Does it advise on how to deal with the bullying of a college to mandate an emergency use vaccine which puts children and college kids at risk of death, myocarditis, seizures, etc...?'",0,0,1
"34","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 468,946,Dose2 Capacity: 392,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 21:01:26,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,946,\nDose2 Capacity: 392,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"35"," Youre not correct. He is the worst. Are You going to put your political beliefs on a college application. How about the Trans Rules? How about no vaccine proof needed at work and cruises? THe list is tooooooo long. Hes a bad guy. #RemoveRon",2021-06-23 20:58:42,"b'@MrMichaelBurkes Youre not correct. He is the worst. Are You going to put your political beliefs on a college application. How about the Trans Rules? How about no vaccine proof needed at work and cruises? THe list is tooooooo long. Hes a bad guy. #RemoveRon'",0,0,1
"36","theres NO WAY students should be deprived of a college education because of an OPTIONAL vaccine",2021-06-23 20:50:50,"b'theres NO WAY students should be deprived of a college education because of an OPTIONAL vaccine'",1,0,0
"37"," LITERALLY just told someone else I bought drugs from him in college lmaoooooo like seriously dont worry whats in the vaccine u take any type of pill sir",2021-06-23 20:49:15,"b'@youfloppedbb LITERALLY just told someone else I bought drugs from him in college lmaoooooo like seriously dont worry whats in the vaccine u take any type of pill sir'",0,0,1
"38"," But if the college world is anything like MY industry, in every survey my patrons tell me they wont come back until they are assured that everyone else attending has been vaccinated. ",2021-06-23 20:37:29,"b""@TSealskin But if the college world is anything like MY industry, in every survey my patrons tell me they won't come back until they are assured that everyone else attending has been vaccinated. \n\nhttps://t.co/LouhdiCpQ3\n3/""",0,0,1
"39","Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college ",2021-06-23 20:27:53,"b'Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college https://t.co/7U16eC65nz\n#TheTimeReports #News #World #Business #Sports #TopStories #BreakingNews #Entertainment #Technology #Twitternews #Trending #Viralnews'",0,0,0
"40","   I agree with you on college vaccine mandates. Dont think we have strong enough data to support that",2021-06-23 20:22:33,"b'@HeckofaLiberal @kevcol12 @DavidJuurlink I agree with you on college vaccine mandates. Dont think we have strong enough data to support that'",0,2,1
"41","",2021-06-23 20:21:15,"b'https://t.co/y0U9nl2vI7: Perimeter College: Georgia State Prevention Research Center Gets $500000 CDC Grant To Increase Vaccine Uptake In Clarkston.\nhttps://t.co/aSqG6Us4Qn\n\nvia @GoogleNews'",0,0,0
"42","      Thanks  thats useful to see. Although with no vaccine plan for 16-18s, college students remain in the firing line.",2021-06-23 20:16:47,"b'@samerbagaeen @educationgovuk @SFCA_info @AoC_info @AoCDavidH @RealGeoffBarton Thanks @samerbagaeen thats useful to see. Although with no vaccine plan for 16-18s, college students remain in the firing line.'",0,1,1
"43","The requirement applies to all full- and part-time students who plan to attend in-person. ",2021-06-23 19:54:59,"b'The requirement applies to all full- and part-time students who plan to attend in-person. https://t.co/eJMDt9YJpM'",0,1,0
"44","Union County College is hosting a free vaccine clinic on Wednesday, June 30th at their Cranford campus. The event will also feature giveaways and raffles for prizes such as gift cards, laptops, and free tuition for students.",2021-06-23 19:53:34,"b'Union County College is hosting a free vaccine clinic on Wednesday, June 30th at their Cranford campus. The event will also feature giveaways and raffles for prizes such as gift cards, laptops, and free tuition for students.\nhttps://t.co/lv3uv06Wyb'",3,3,0
"45","Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college || SnowflakeYT || ig_sfg || SnowflakeYT || Sonu8726 ",2021-06-23 19:49:02,"b'Mumbai vaccine scam: Fourth FIR lodged, sixth accused arrested for holding unauthorised camp in Borivali college || SnowflakeYT || ig_sfg || SnowflakeYT || Sonu8726 https://t.co/XJGQbe88nc'",0,0,0
"46","Wheres the national GOP taking a hardline stance against mandatory vaccination being forced at college students &amp; workers?Theyre too busy tweeting #JuneTeenth hashtags, bragging about vaccine sales &amp; taking selfies with Caitlyn Jenner. Why do people think they care?",2021-06-23 19:48:50,"b""Where's the national GOP taking a hardline stance against mandatory vaccination being forced at college students &amp; workers?\n\nThey're too busy tweeting #JuneTeenth hashtags, bragging about vaccine sales &amp; taking selfies with Caitlyn Jenner. \n\nWhy do people think they care?""",35,205,0
"47","  May I know what kind of vaccine will be given for 2nd dose on June 24 at Seneca colleges Newnham location?  Thank you",2021-06-23 19:47:56,"b""@NYGH_News @cayman2047 May I know what kind of vaccine will be given for 2nd dose on June 24 at Seneca college's Newnham location?  Thank you""",0,0,1
"48","a really unpopular opinion ive developed all year: im aggravated that bill gates keeps pushing a vaccine when hes not a doctor or medical professional and is a college drop out. leave it to doctors and stop budding in. google to this day still says the survival rate is 99.8%.",2021-06-23 19:40:16,"b""a really unpopular opinion ive developed all year: \nim aggravated that bill gates keeps pushing a vaccine when he's not a doctor or medical professional and is a college drop out. leave it to doctors and stop budding in. \ngoogle to this day still says the survival rate is 99.8%.""",0,1,0
"49"," My family has no idea, zero, what vaccinations I get...unless I tell them. These people can get the vaccine and keep quiet about it. Even kids who have anti vaccine parents are going out and getting all their vaccines without the parents knowing. They need them for college.",2021-06-23 19:38:05,"b'@WesElyMD My family has no idea, zero, what vaccinations I get...unless I tell them. These people can get the vaccine and keep quiet about it. Even kids who have anti vaccine parents are going out and getting all their vaccines without the parents knowing. They need them for college.'",0,1,1
"50","Just got my second vaccine shot in a college gymnasium with Backstreet Boys - I Want It That Way playing in 128kbit MP3 quality on the doctors phone next to me. And, reader, I did want it that way",2021-06-23 19:31:51,"b""Just got my second vaccine shot in a college gymnasium with Backstreet Boys - I Want It That Way playing in 128kbit MP3 quality on the doctor's phone next to me. And, reader, I did want it that way""",0,2,0
"51","College is not a right its a privilege. If you dont want a vaccine dont go or pick another school.Stop being selfish assholes.",2021-06-23 19:31:04,"b'College is not a right its a privilege. If you dont want a vaccine dont go or pick another school.\n\nStop being selfish assholes.\n\nhttps://t.co/2kXNK5yrer'",0,1,0
"52","Isnt vaccination free for front line workers in Bangalore especially for doctors? PG students in vydehi medical college have compulsory covid duty and they have to pay for the vaccine..     ",2021-06-23 19:27:30,"b""Isn't vaccination free for front line workers in Bangalore especially for doctors? PG students in vydehi medical college have compulsory covid duty and they have to pay for the vaccine.. @Tejasvi_Surya @PMOIndia @MoHFW_INDIA @narendramodi @CMofKarnataka""",0,0,0
"53","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 468,953,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 19:26:46,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,953,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"54","To enjoy an uninterrupted fall sports season...teens and college students should get their two-dose series of Pfizer COVID-19 vaccine by June 27th, to be fully vaccinated by the Aug. 1 practice date. Schedule today at ",2021-06-23 19:14:16,"b'To enjoy an uninterrupted fall sports season...teens and college students should get their two-dose series of Pfizer COVID-19 vaccine by June 27th, to be fully vaccinated by the Aug. 1 practice date. Schedule today at https://t.co/O5fIXAkxCf or call 419-447-3691 ext. 6333.'",0,0,0
"55","Residents can get the 1st or 2nd dose of the Pfizer vaccine at any Fulton County site.The Johnson &amp; Johnson vaccine is offered 18+ at the Georgia International Convention Center in College Park and 4700 North Point Parkway in Alpharetta.More info: ",2021-06-23 19:05:06,"b'Residents can get the 1st or 2nd dose of the Pfizer vaccine at any Fulton County site.\n\nThe Johnson &amp; Johnson vaccine is offered 18+ at the Georgia International Convention Center in College Park and 4700 North Point Parkway in Alpharetta.\n\nMore info: https://t.co/q2CtomdbI8'",4,3,0
"56","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 468,956,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 19:03:05,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,956,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"57","Take a look at this opportunity!  #student #chicago #college #Lollapalooza #vaccine ",2021-06-23 18:58:42,"b'Take a look at this opportunity!  #student #chicago #college #Lollapalooza #vaccine https://t.co/jA8M8uZ53F'",0,0,0
"58","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 468,958,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 18:58:05,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,958,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"59","Indiana University students sue over coronavirus vaccine mandate ",2021-06-23 18:48:36,"b'Indiana University students sue over coronavirus vaccine mandate https://t.co/XTbz8M1L1x https://t.co/h4Jm3afa1G'",0,0,0
"60","Need your first #covid19 vaccine shot? Head to Vancouver Community College before 6pm today  ",2021-06-23 18:48:13,"b'Need your first #covid19 vaccine shot? Head to Vancouver Community College before 6pm today  https://t.co/EPG4q71yHQ'",12,6,0
"61","   vaccine ok . College yaake .",2021-06-23 18:43:18,"b'@drashwathcn @BSYBJP  vaccine ok . College yaake .'",0,0,1
"62","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 468,959,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 18:43:05,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 468,959,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"63","#legal ",2021-06-23 18:42:42,"b""#legal \nhttps://t.co/rBaudUoE4u\nFraud' vaccination drive: Cops verify college's claims of being a victim by same gang\nMeanwhile, the carrier of the vaccine, 21yrs Qareem Akbar Ali is being brought to the police station from MP on Saturday and he is likely to be arrested. https://t.co/5pFPgueIHS""",0,0,0
"64","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 469,960,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 18:38:05,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 469,960,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"65"," So no vaccine passports bc of privacy concerns but survey college students on their views and collect the information? No, no hypocrisy there.",2021-06-23 18:37:14,"b'@NikkiFried So no vaccine passports bc of privacy concerns but survey college students on their views and collect the information? No, no hypocrisy there.'",0,0,1
"66"," The #IndianaUniversity students have every right to refuse the COVID vaccine, and they equally have the right to shlep burgers as college dropouts#FuckEm",2021-06-23 18:36:25,"b'@AnaCabrera The #IndianaUniversity students have every right to refuse the COVID vaccine, and they equally have the right to shlep burgers as college dropouts\n\n#FuckEm'",0,0,1
"67","Our government is a disgrace! I have a son who is in college in Romania, and one who is going to Rowan University in the fall. The vaccine is voluntary for students in the former communist country while in the land of free, the vaccine is mandatory to attend college. ",2021-06-23 18:33:54,"b'Our government is a disgrace! I have a son who is in college in Romania, and one who is going to Rowan University in the fall. The vaccine is voluntary for students in the former communist country while in the land of free, the vaccine is mandatory to attend college. https://t.co/uDFn7YFesY'",2,14,0
"68","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 469,964,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 18:32:45,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 469,964,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"69"," But they still have to get the vaccine to go to college?",2021-06-23 18:29:10,"b'@CNBC But they still have to get the vaccine to go to college?'",0,7,1
"70","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 469,967,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 18:27:45,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 469,967,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"71","We were so excited to have  partner with the White House to support Forsyth Technical Community College by providing $25 in GoPuff credits to community members working, volunteering, or receiving a COVID-19 vaccine at our clinic! Thank you, GoPuff!! #APlaceOfPromise ",2021-06-23 18:23:23,"b'We were so excited to have @GoPuff partner with the White House to support Forsyth Technical Community College by providing $25 in GoPuff credits to community members working, volunteering, or receiving a COVID-19 vaccine at our clinic! Thank you, GoPuff!! #APlaceOfPromise https://t.co/BHxz4ROrnj'",0,0,0
"72"," Awesome interview Ana with the lawyer for the unvaccinated IU students! The thing I love about your interviews is you really challenge the other side and imo there is no defense for NOT getting the vaccine prior to starting up in college in the fall. Great job Ana!",2021-06-23 18:23:21,"b'@AnaCabrera Awesome interview Ana with the lawyer for the unvaccinated IU students! The thing I love about your interviews is you really challenge the other side and imo there is no defense for NOT getting the vaccine prior to starting up in college in the fall. Great job Ana!'",0,3,1
"73","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 469,966,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 18:22:45,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 469,966,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
"74","Niggas take the vaccine and act like they just graduated college",2021-06-23 18:20:41,"b'Niggas take the vaccine and act like they just graduated college'",1,7,0
"75","Right headline: Colleges should get students vaccinated. Why are some still not doing so?Stop framing stories like this. Im thankful Im going to a college that is encouraging vaccinations, but it should be a requirement. ",2021-06-23 18:17:04,"b""Right headline: 'Colleges should get students vaccinated. Why are some still not doing so?'\n\nStop framing stories like this. I'm thankful I'm going to a college that is encouraging vaccinations, but it should be a requirement. \n\nhttps://t.co/JJlea5uPl3""",0,0,0
"76","  The  did the same about face on their Initial recommendation that pregnant women not get the vaccine after getting pressure from American college of obstetricians &amp; gynecologist.",2021-06-23 18:13:42,"b'@AlexBerenson @WHO The @WHO did the same about face on their Initial recommendation that pregnant women not get the vaccine after getting pressure from American college of obstetricians &amp; gynecologist.'",0,0,1
"77","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [45,18],Dose1 Capacity: 469,968,Dose2 Capacity: 393,81,Dates Available: 24-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE",2021-06-23 18:12:45,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 469,968,\nDose2 Capacity: 393,81,\nDates Available: 24-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
